"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","يوم الأثنين من الساعه ١٠ صباحا حتي الساعه ١ مساء و من ١ مساء حتي الساعه ٤ مساء٫ يوم الثلاثاء من ١-٥ مساء ٫ الأربعاء من ٢ مساء - ٥ مساء","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","العربيه و الأمانيه ","التوجيه / الاستشارة، دورات الاندماج والمعلومات","تقديم الخدمات الموجهة نحو الطلب والاستشارات الفردية للمهاجرين",,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","Dresden","0","0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","دورات تعلم اللغة الألمانية. التصنيفات مستوى، ومحو الأمية، A1، اختبارات تحديد المستوى، المتطوعين،","دورات تعلم اللغة الألمانية محو الأمية بحلول نهاية A1 في 6 مستويات لطالبي اللجوء الذين ليس لديهم أو ليس لها الحق في كلية العلوم التربوية أو التكامل الدورات. 60 متطوعة Lehrer_innen تعليم عن 30 دورة. 4x رقمي في اختبارات تحديد المستوى العام وإعادة تشغيل من الدورات",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","الخدمات الاستشارية: الجمعة 16:00 حتي 18:00 في الطابق السفلي من مبنى الإقامة المجتمعية ٫ العنوان شارع فلوريان غيير مبنى رقم  48","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","ألماني، إنجليزي، أخرى","الاستشارات والاجتماعية والثقافية","نحن، أعضاء مجموعة الاتصال حول اللجوء (ه V،. قصيرة كوجا)، تساعد طالبي اللجوء وهرب في دريسدن في التعامل مع العديد من العقبات البيروقراطية وخلق الاتصال والاجتماع الأماكن. مع الاحترام، ونحن بناء على نقاط القوة والإمكانات من هؤلاء الناس و، باعتبارها الأشخاص الذين يمكن الاتصال مستقلة المتاحة. علنا، ونحن ملتزمون الهياكل القمعية والتحيز العنصري والتضامن والمجتمع الملونة.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul","0","0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","ألماني، إنجليزي"," دورات تعلم اللغة الألمانية، والمساعدة الفردية حالة والدعم، والأنشطة الاجتماعية والثقافية، ومجموعات، والتعارف","دورات تعلم اللغة الألمانية من قبل مدرسين متطوعين لمختلف المستويات، بما في دورة لمحو الأمية وموضوعية A1 / A2 كأساس لالوالية. مرفق البيئة العالمية. دورات في اللغة، في العمق مجموعة التعليمي؛ رافق طالبي اللجوء إلى السلطات، والأطباء، وأرباب العمل، وما إلى ذلك؛ تنظيم أحداث رياضية وثقافية والأنشطة الحرفية. الاجتماع الشهري في الإقامة في وسط رادبول لتبادل.","",,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","ألماني، إنجليزي","دورات تعلم اللغة الألمانية، والمساعدة في الحياة اليومية والأنشطة الترفيهية، والأحداث للاجئين والمقيمين، ملصق، نشرة وحملات بطاقة بريدية","""الشبكة المحلية"" ""Laubegast الخاصة العراقية نطحة"" ""(Laubegast غير ملونة) تعمل منذ عام 2010 لتعزيز الديمقراطية والانفتاح / المواقف عالمية والتسامح في هذا الجزء من تيه المدينة. ومنذ عام 2014 مساعدات للاجئين أصبحت واحدة من كبرى المواضيع.
""",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","اجتماعات أسبوعية","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","ألماني، إنجليزي","عروض من المحادثات، والتواصل بين طالبي اللجوء والأشخاص درسدن، والتكامل من خلال الجولات أريكة المشتركة، والأحداث للاجئين، اجتماعات منتظمة، والعلاقات العامة للتكامل (مع أريكة)، المتطوعين، والحديث الألمانية والثقافات","0",,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","ألماني، إنجليزي، فرنسي","0","""الشبكة"" ""مرحبا بكم في Löbtau"" ""يريد دعم اللاجئين ل
وصول / يستقر في هذا الجزء من المدينة. نريد أن إقامة روابط
بين اللاجئين والسكان LOKAL. وتتألف الشبكة من
المواطنين المخلصين والرعايا الكنيسة والجمعيات / النوادي و(السياسية)
الأطراف "".",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","المواعيد متوفرة عند الطلب","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","ألماني، إنجليزي، فرنسي","إنشاء مجموعات عمل حول 02/20/15 الساعة 17:00 في مسرح احتفالات Hellerau","""المبادرة"" ""بناء الجسور"" ""هو التعاون بين الكنيسة الرعايا والجمعيات / الأندية، (السياسية)
الأحزاب والمكتب المركزي المحلي ("""" Ortsamt """") Klotsche، Langebrück وHellerau (أحياء المدينة). نحن نريد أن نجعل من وصول والتكامل وcohabitaion / الحياة المجتمعية مع السكان كما سهلة وسلمي / التوافقي وقت ممكن للاجئين وطالبي اللجوء """,,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","أجتماع مع الاستشاري كل يوم ثلاثاء الثاني و الرابع في الشهر الساعه ١٩:٠٠ في مبنى كابانا رقم ٧ في شارع Kreuzstraße ","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","ألماني، إنجليزي","برنامج إرشادي للاجئين إعادة التوطين","الوساطة من التوجيه للاجئين (إعادة التوطين والإقامة؟).
المشاركة السياسية لتحسين برامج إعادة التوطين من
  ألمانيا وتنسيق مركزي لجميع الإرشاد في دريسدن .",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden","0","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","ألماني، إنجليزي","إعانة اللاجئين صندوق الترويج، والبرامج التعليمية للمدارس","نحن نؤيد إغاثة اللاجئين وغيرها من الجماعات التي كتبها / عبر المساعدات المالية وتطوير المواد التعليمية حول موضوع هروب واللجوء للمدارس.",,,,,,,,,,,
