"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","Monday 10am-1pm and 1pm-4pm; Tuesday 1pm-5pm; Wednesday 2pm-5pm; Friday 10am-1pm","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","German, English, Portuguese, Dutch, Russian, Czech, Arabic, Persian","Guidance/Councelling, integration courses, information",,,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","Dresden, 30 course offers in the whole city","0","0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","German courses; alphabetisation to the end of A1, placement/grading tests, voluntary teachers","German courses starting from alphabetisation to the end of A1 through six difficulty levels, for asylum seekers who still don't have the right/access to the ESF- or integration courses. 60 voluntary teachers will teach the ca. 30 German courses. The start of new courses and placement/grading tests take place four times a year",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","Consultation services: Friday 4pm-6pm in the basement of the communal accomodation Florian-Geyer-Straße 48","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","German, English, other","Consultation, socio-cultural offers,...","We, the members of the contact group Asylum (e. V.; short KoGA), support asylum seekers and refugees in Dresden to overcome administrative barriers and create opportunities to contact and amicable meetings. With respect, we build on the strengths and potentials of these people and provide help as spokespeople. We openly campaign against repressive stuctures and racistic prejudices and promote an open and colourful society.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul",,"0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","German, English","German courses, individual aid, socio-cultural offers, networking,","German courses for different levels given by voluntary teachers, including alphabetisation course, achievement of A1/A2 level as basis for statutorily required language course, complementary exercise groups. Support/accompaniment to authorities, doctor, employers, etc. Organisation of sport and cultural activities and ""handwerklicher Tätigkeiten"". Monthly meetings in the central Unterkunft in Radebeul for Austausch",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","German, English","German courses,help/aid in everyday life/daily routine, leisure facilities, meetings between Asylum seekers and residents, creation of flyers, placards, postcards","the local Network ""Laubegast ist bunt"" (Laubegast is colourful) workes since 2010 for democracy promotion, open-mindedness/ cosmopolitan attitudes and tolerance in this part of teh city. Since 2014 the aid to refugees has become one of our major topics.",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","weekly meetings","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","German, English","Offers for dialogues, networking between asylum seekers and people from 
Dresden, integration via joint Sofa-tours (sofa hopping with other 
people?),events for refugees, regular meetings, public relations work 
for integration (with the sofa), voluntary, oppurtunities to speak 
german (practice, exercise), intercultural","",,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","German, English, French",,"the network ""Welcome to Löbtau"" wants to support refugees to 
arrive/settle down in our part of the city. We want to forge links 
between the refugees and the lokal residents. The  network consists of 
dedicated citizens, church parishes, associations/clubs and (political) 
parties.",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","Appointments available on request","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","German, English, French","inception of working groups on 20.2.15, 17:00 at the Festspielhaus Hellerau","The initiative ""build bridges"" is a cooperation between church parishes, associations/clubs, (political) 
parties and the local central office (""Ortsamt"") Klotsche, Langebrück and Hellerau (city districts). We want to make the arrival, integration and cohabitaion/communal life with the residents as easy and peaceful/harmonic as possible for refugees and asylum seekers",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","mentor-meetings every second tuesday 7pm at Cabana (Kreuzstraße 7)","015903128114 Office hours: Thursday:5pm - 8pm
Sunday:5pm - 8pm",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","German, English","Mentoring program for resettlement refugees","Mediation of mentorings for refugees (resettlement and accommodation?). 
Political engagement for the improvement of the resettlement programs of
 Germany and central coordination of all mentorings in Dresden.",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden","0","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","German, English","monetary aid for refugee organizations in Dresden, education for schools about escape and asylum","We support the refugee relief and other groups by/via financial aid and develop education materials on the subject of escape and asylum for schools.",,,,,,,,,,,
