"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","lundi 10-13 et 13h-16h; mardi 13h-17h; mercredi 14h-17h; vendredi 10h-13h","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","allemand, anglais, portugais, hollandais, russe, tchétchène, arabe, perse","consultation, cours d'integration, information","Consultations axées sur les besoins individuels des migrants",,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","Dresden, 30 cours d'allemand sur l'ensemble de la ville","0","0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","Cours d'allemand; Distribution par niveau; Alphabétisation, A1; Evaluation du niveau; Bénévolat ","Cours d'allemand, d'alphabétisation jusqu'à la fin du niveau A1 en 6 niveaux, pour demandeurs d'asile n'ayant pas droit aux cours ESF ou aux cours d'intégration; 60 enseignants bénévoles dispensent env. 30 cours; Evaluation du niveau d'entrée et début des cours 4x par an.",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","Horaires pour conseils: vendredi 16h à 18h au sous-sol du Logement communautaire (Gemeinschaftsunterkunft) Florian-Geyer-Straße 48","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","Allemand, anglais, autres","Conseil, soutien, offres socio-culturelles","Nous, membres du Groupe de Contact Asile (ndt: ""Kontaktgruppe Asyl"", abrégé KoGA), soutenons les demandeurs d'asile et les réfugiés à Dresde à surmonter les nombreuses barrières bureaucratiques et offrons des opportunités de contact et de rencontre. Nous aidons, avec respect, à joindre les forces et le potentiel de ces personnes et nous mettons à disposition en tant qu'interlocuteurs neutres. Publiquement, nous nous engageons contre les structures répressives et les préjugés racistes, ainsi que pour une société solidaire et diverse.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul","0","0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","allemand,anglais","Cours d'allemand, aide et accompagnement individuel, offres socio-culturelles, collections, travail de réseau","Cours d'allemand par des professeurs bénévoles pour tous niveaux, y compris cours d’alphabétisation, avec but A1 / A2 en tant que base pour des cours linguistiques officiels, groupes de travail pour des exercices d’approfondissement; accompagnement des demandeurs d'asile aux services publics, médecins, employeurs etc.; organisation des événements sportifs et culturels et des activités artisanales; lieu de rencontre mensuel d’échange dans le logement central à Radebeul ",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","allemand, anglais","Cours d’allemand, aide au quotidien, activités récréatives/loisirs, événements culturels pour réfugiés et habitants, actions d’information par affiches, prospectus et cartes postales","Le réseau civil ""Laubegast ist Bunt"" s'applique depuis 2010 à faire preuve d'initiative démocratique, d'ouverture au monde et de tolérance au sein du quartier. Depuis 2014, l'aide pour les réfugiés est l'un des points forts de notre travail.",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","Rencontres hebdomadaires","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","allemand, anglais","offres d'entretiens, création de liens entre demandeurs d'asile et habitants, intégration grâce au ""Sofa-Touren""(""discussions sur le canapé"" au sens de groupe de parole et d'écoute), animations culturelles pour réfugiés, rencontres regulières, travaux publics pour l'intégration grâce au ""Sofa-Touren"", bénévolat, parler allemand, interculturalité","0",,,,,,,,,,,
"6","Willkommen in Löbtau","pas d'adresse fix / Hoffungskirche: Clara-Zetkin-Straße 30","01159","Dresden","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","allemand, anglais, français","0","Le réseau civil “Willkommen in Löbtau” veut soutenir l'integration des réfugiés dans notre quartier. Par notre travail, nous voulons construire un pont entre les anciens et les nouveaux habitants de Löbtau. Le réseau réunit des citoyens, des paroisses, des associations et plusieurs partis politiques.",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","sur rendez-vous","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","allemand, anglais, français","création de groupe de travail le 20/2/15 à 17h au Festspielhaus Hellerau","L'initiative ""Brücken schaffen"" est une collaboration entre associations, paroisses, partis politiques, services municipaux (Klotsche, Hellerau, Langebrück) qui a pour but de créer une communauté harmonieuse entre habitants et demandeurs d'asile et de faciliter l'accueil et l'intégration de ces derniers. ",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","chaque second mardi à 19h rencontre des parrains chez Cabana (Kreuzstr.7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","allemand, anglais","parrainage pour réfugiés victimes d'un déplacement forcé","Propositions de parrainages pour réfugiés (Resettlement und Adhoc), engagement politique pour une amélioration des ""Resettlement programmes"" (déplacement forcé) de la RFA et la coordination centrale de tous les parrainages de Dresde.",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden","0","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","allemand, anglais","fonds d'aide pour réfugiés, offres de formations pour les écoles ","Nous soutenons l'aide au réfugiés d'autres groupes en mettant notre fond financier à disposition. Nous développons des programmes scolaire sur les thèmes ""réfugiés"" et ""asile"". ",,,,,,,,,,,
