"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Дрезден","Понедельник: с 10 до 13 ч. и с 13 до 16 ч.; Вторник: с 13 до 17 ч.; Среда: с 14 до 17 ч.; Пятница: с 10 до 13 ч.","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","немецкий, английский, португальский, нидерландский, русский, чешский, арабский, персидский ","консультация, курсы интеграции, информация","Предоставление ориентированной на потребности и индивидуальной консультации для мигрантов",,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","0","0","0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","курсы немецкого языка, распределение по уровням, обучение грамоте, A1; тесты, определяющие уровень подготовки; на общественных началах ","Курсы немецкого языка с освоения грамоты до конца уровня A1 в 6 ступенях для лиц, ищущих убежища, которые не имеют или еще не имеют права посещать курсы европейского социального фонда или интеграционные курсы; 60 учителей на добровольной основе преподают около 30 курсов; 4 теста в год на определение уровня подготовки и повторное начало курсов",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Дрезден","Время консультаций: по пятницам с 16 до 18 ч. в подвальном помещении общежития по адресу: Florian-Geyer-Straße 48","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","немецкий, английский, другие","консультации, социокультурные события","Мы участники контактной группы ""Убежище"" (сокращенно KoGA) поддерживаем ищущих убежища и беженцев в Дрездене в преодолении множества бюрократических преград и создаем возможности для встреч и контактов. Мы с уважением обращаемся с потенциалом и сильными сторонами этих людей и предоставляем свои услуги в качестве независимых контактных лиц. Публично мы активно боремся против репрессивных структур и расистских предрассудков, а также выступаем за солидарное и разнородное общество.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Радебойль","0","0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","немецкий, английский","курсы немецкого языка, индивидуальная работа и поддержка, социокультурные события, собрания, работа ассоциации","Курсы немецкого языка при поддержке учителей на общественной основе для различных ступеней, включая курс обучения грамоте, цель - уровни A1/A2 в качестве базы для государственных языковых курсов, группы с углубленным изучением; сопровождение лиц, ищущих убежище, в административные учреждения, к врачам, к работодателям и т.д.; организация спортивных и культурных мероприятий; ремесленная деятельность, ежемесячное местро встречи для обмена опытом в центральном пункте временного проживания в Радебойле   ",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Дрезден","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","немецкий, английский","курсы немецкого языка, помощь в повседневной жизни, досуговые мероприятия, мероприятия для беженцев и жителей города, акции с плакатами, флаерами и почтовыми открытками","Гражданская ассоциация ""Laubegast ist Bunt"" уже с 2010 года прилагает все усилия по созданию условий в этой части города, при которых поддержка демократии, открытость миру и толерантность являются основопологающими принципами жизни граждан. Начиная с 2014 года помощь беженцам стала одной из главных задач работы ассоциации.  ",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Дрезден","Еженедельные встречи","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","немецкий, английский","различные темы для общения, взаимосвязь между претендентами на получение статуса беженца и жителями Дрездена, интеграция посредством совместных ""диванных"" туров, мероприятия для беженцев, регулярные встречи, работа с общественностью для интеграции, на общественных началах, говорить по-немецки, межкультурный","0",,,,,,,,,,,
"6","Willkommen in Löbtau","Без постоянного адреса / Hoffungskirche: Clara-Zetkin-Straße 30","01159","Дрезден","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","немецкий, английский, французский","0","Ассоциация ""Willkommen in Löbtau"" хочет помочь беженцам устроиться в нашем районе. Посредством нашей работы мы хотим построить мост между новыми и коренными жителями Лёбтау. Ассоциация состоит из инициативных граждан, церковных общин, объединений и различных партий.",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Дрезден","Даты и время приема по запросу","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","немецкий, английский, французский","формирование рабочих групп 20.02.2015 в 17.00 в концертном зале Hellerau","Инициатива ""Brücken schaffen"" - это совместная работа объединений, церквей, партий, районной администрации из Клоцше, Хэллерау, Лангебрюк, с целью сформировать гармоничную совместную жизнь между жителями и ищущими убежище, а также организовать их интеграцию и устройство на месте.",,,,,,,,,,,
"8","Save me Dresden","0","0","Дрезден","Каждый второй вторник месяца в 19 ч. встреча у Cabana (Kreuzstraße 7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","немецкий, английский","программы кураторства для переселенных беженцев","Содействие по вопросам опекунства для беженцев (расселение и размещение на месте). Политически активная деятельность по улучшению программы расселения в ФРГ и центральное координирование кураторства в Дрездене. ",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Дрезден","0","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","немецкий, английский","фонд помощи беженцам, образовательная деятельность для школ","Мы поддерживаем помощь беженцам других групп предоставляя денежные средства из нашего фонда материального обеспечения. Мы развиваем образовательную деятельность в школах по теме ""Бегство и убежище"".",,,,,,,,,,,
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Дрезден","Дата и время встречи по согласованию: с понедельника по пятницу с 9 до 18 ч.","(0351) 88 9 41 74
(0172) 9 74 12 68",,"opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html","0","0","0","немецкий, английский","беспристрастные, ориентированные на конкретного человека, доверительные, многоязыковые и бесплатные консультация и поддержка пострадавших от действий представителей крайне правых и расистких убеждений; консультация и поддержка их родственников, друзей, а также свидетелей нападения    ","0",,,,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Дрезден","По договоренности","0",0.00,"ah1944@web.de","0","0","Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess","0","немецкий, английский","языковые курсы в дрезденском нагорье, получение куратора, сбор пожертвований, работа с общественностью, досуговые мероприятия, диалог","Целью основанного объединения является улучшение условий жизни беженцев и ущущих убежища в Дрездене и в соседних районах. Мы добиваемся этой цели прежде всего посредством поддерживающего и сопровождающего оказания помощи при прибытии в Дрезден для лучшей интеграции новых жителей. Сюда относятся также консультация, патронаж, развитие возможностей трудоустройства, межкультурные и прочие мероприятия.",,,,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Дрезден","Ежедневно с 13 до 20 ч., в субботу закрыто","0351/ 281 80 84",0.00,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","немецкий, английский","досуговые мероприятия, изучение немецкого языка, контакты с волонтерами и помощниками, экскурсии, сбор пожертвований, помощь в повседневных делах, кураторство ","Мы организуем реальную помощь для лиц, ищущих убежища в Лёйбниц-Нойостра и за его пределами. Мы предлагаем благоприятное и открытое место для встреч, организации свободного времени, социально-активной деятельности, координированию предложений, поддержки, а также в качестве места встречи партнеров ассоциации. Наши помещения предоставляются для деятельности за рамками рабочего времени (например до полудня). Каждые воскресенье и среду с 16 до 20 часов активисты и заинтересованные граждане могут встречаться у нас, чтобы завязать контакты, встретиться с людьми, ходатайствущими о предоставлении убежища, и совместно спланировать специальные мероприятия и предложения.",,,,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Дрезден","Понедельник: с 9 до 12 ч.; Вторник: с 9 до 12 ч. и с 13 до 17.30 ч.","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Дрезден","Вторник: с 13 до 17 ч.; Пятница: с 9 до 12 ч.","0351-26068027",0.00,"asyl@awo-sonnenstein.de","0","0","0","0","0","0","0",,,,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Дрезден","0","0351 / 28 99 276",0.00,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","немецкий, русский","консультации, беседы, сопроводительная работа, публичная образовательная деятельность, досуговые мероприятия, варианты участия в различной деятельности, спортивные и музыкальные мероприятия, межкультурные встречи","С нашим предложением ""Межкультурное место встречи для молодых людей"" мы обращаемся к детям, молодежи, а также к родителям без или с миграционным прошлым. При этом мы ориентируемся на потребности и интересы наших адресатов. С момента увеличения числа лиц, ходатайствующих о получении убежища, эта целевая группа усиленно использует наши предложения. Мы поддерживаем связь и работаем совместно со специальными службами и участвующими в деятельности, имеющей непосредственное отношение к выше указанным темам.",,,,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Дрезден","С понедельника по четверг: с 9 до 21 ч.; пятница: с 9 до 17 ч.","0351 4472823",0.00,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank","0","немецкий, английский","досуговые мероприятия, художественные и культурные предложения, спортивные предложения, межкультурные встречи","Мы предоставляем наши помещения и художественные мастерские для курсов, мероприятий и различных акций - от приготовления пищи, спорта и встреч, до искусства и культуры - все возможно.",,,,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Дрезден","0","01778584201",0.00,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler","0","0","районная ассоциация, информация, координация проектов","0",,,,,,,,,,,
"18","Pieschen für alle","0","0","0","0","0",0.00,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler","0","0","0",,,,,,,,,,,
"19","Bündnis Buntes Meißen","0","01662","Майсен","0","0",0.00,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler","0","0","досуговые мероприятия, кураторство, курсы немецкого языка","0",,,,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Дрезден","Со вторника по четверг: с 14 до 17 ч.; четверг: с 10 до 12, по записи","0351-8495679; 015750979006",0.00,"medea-m-gupte@dmx.de","www.medea-dresden.de","0","Anke Müller-Gupte","0","немецкий, английский; по требованию устный переводчик из бюро переводов","консультации по вопросам здоровья - публичные встречи","Помимо консультаций по вопросам здоровья (психика, питание, предохранение, беременность, лечебная практика) мы предлагаем открытые встречи для женщин: женский завтрак по четвергам с 10 до 12 ч. (не на каникулах) и собрание для женщин и детей в доме молодежи Gorbitz по четвергам с 16 до 18 ч. (с марта по средам с 16 до 18 ч.) ",,,,,,,,,,,
"21","AG Asylsuchende [GRH]","0","0","Гросенхайн","0","0",0.00,"ag_asylsuchende_grh@riseup.net","0","0","0","0","немецкий, английский","досуговые мероприятия с просителями убежища, антирасистская образовательная деятельность (смотри блог)","0",,,,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Дрезден","Консультационный пункт: с понедельника по среду и в пятницу с 10 до 16 ч.","0",0.00,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb","0","немецкий, английский, русский, арабский","консультация, образовательное попечительство, публичные встречи (встречи для женщин, отцов, молодежи), развитие спорта, образовательная работа ","0",,,,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Дрезден","Понедельник: с 10 до 13 ч.; вторник: с 13 до 17 ч.; четверг: с 11 до 15 ч.","0351-27 272 16",0.00,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de","0","Veronika Gottmann","Veronika Gottmann","региональная ассоциация в Пролисе: встречи на немецком языке, кураторство, разнообразное проведение досуга, флаер","региональная ассоциация в Пролисе; встречи на немецком языке, кураторство, досуговые мероприятия, темы для бесед, флаер","Ассоциация ""Prohlis ist bunt"" - это объединение союзов, учреждений, районной администрации, домоправления, церковной общины и партий из Пролиса. Ее целью является создание в Пролисе радушного климата для ищущих убежище и беженцев. Главная задача состоит в работе ассоциации, а также проектной деятельности. Ассоциация существует с весны 2014 года.",,,,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Дрезден","Понедельник: с 15 до 18 ч.; среда: с 15 до 18 ч.; четверг: с 9.30 до 12 ч.; пятница: с 10 до 13 ч.","0351-2728489",0.00,"leuben@vsp-dresden.de","www.vsp-dresden.org","0","Andreas Ermer","Katrin Baumgart","немецкий, английский","региональная ассоциация, курсы немецкого языка, кураторство, спортивное предложение, встречи, праздники","Наша ассоциация ""Leuben ist bunt"" состоит из представителей различных инстанций района, среди которых районная администрация, церковь, помощь несовершеннолетним.",,,,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Дрезден","С понедельника по пятницу: с 10 до 16 ч.","0351-47901670",0.00,"tina.gruhl@saxsys.de","0","0","Tina Gruhl","Tina Gruhl","немецкий, английский","ассоциация + посредничество, контакт с другими организациями, курсы немецкого языка, повышение уровня знаний в работе с компьютером (через дрезденское агенство занятости), мобильное приложение","Как предприятие, являющееся частью общества, мы хотели бы внести свой вклад и взять на себя ответственность в том объеме, который мы можем выполнить. Мы тесно сотрудничаем с саксонским советом по делам беженцев и агентством занятости. В этой связи мы не являемся объединением с публичной активностью, но всегда готовы выслушать и помочь при содействии наших контактов.",,,,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Дрезден","Приемные часы по вопросам убежища в районе Gorbitz каждую среду: с 10 до 12 ч.; время встреч ассоциации Gorbitz International по запросу","0351-3225728",0.00,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de","0","Wolfgang Mueller, Ulrich Krause","0","немецкий, английский","Обслуживание ассоциации, посредничество в получении услуг в районе, встречи ассоциации Gorbitz International в помещении домоправления района Горбитц (Gorbitz), районная ежеквартальная газета WesthangPost, праздник Westhang

 ","Ассоциация ""Gorbitz International"" - это союз женщин и мужчин из Горбитца и его окрестностей, представителей учреждений, церковных общин, партий и объединений, которые выступают за добрососедство в районе и хотят заботиться о культуре гостеприимства по отношению к людям другого происхождения. В рамках ассоциации существуют подгруппы и проекты, как например кафе для общения, организация по охране окружающей среды, а также общественно-просветительская работа, общественный сад и так далее.",,,,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Дрезден","Постоянно, пленарное заседание в первую среду каждого месяца","0151-53907002",0.00,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org","0","Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann","0","арабский, русский, курдский, панджаби, китайский, японский, албанский, английский, французский, испанский, украинский, чешский, персидский","Общественный сад, курсы, культурные события","0",,,,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Дрезден","0","0174-8032276",0.00,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de","0","Kerstin Knye","Kerstin Knye","немецкий, английский (русский, украинский, испанский, португальский через посредников)","Переподготовка - педагогическая работа с беженцами на общественных началах, предоставление полномочий на защищенном участке, расизм/миграция","В течение многих лет мы работаем над темами расизма, миграции, бегства и убежища и предлагаем повышение уровня знаний для людей, занимающихся просветительской работой на общественных началах, а также для профессиональных преподавателей-общественников. При этом стоит вопрос, как мы сами на переднем плане можем действовать наиболее критично в отношении расизма. Также мы предлагаем семинары по созданию условий для полноправного участия в жизни общества для лиц, которые пострадали от расизма. Время, содержание, конкретные требования могут быть обсуждены.    ",,,,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10","0","Дрезден","0","015752430666",0.00,"namf@notraces.net","www.namf.blogsport.de","0","Stefan Stein","0","0","Переподготовка, различная деятельность, политическое лоббирование, создание связей ","Политическая инициатива за права беженцев и мигрантов и против расизма. У нас есть список рассылки, посредством которого отдельные люди и группы самоорганизовываются и могут делиться информацией. Запись в список: сообщение на электронный адрес namf@notraces.net
 ",,,,,,,,,,,
"30","Arbeiterwohlfahrt (AWO) Beratung und Soziale Betreuung von Asylsuchenden ","Prohliser Alee","0","Дрезден","Пленарное заседание в первую среду месяца в литературном доме Villa Augustin по адресу Antonstraße 1; в третий четверг месяца в клубе AZ Conni каждый раз в 19 ч. + по договоренности","",0.00,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel","0","немецкий, английский, французский, португальский (арабский, тигринья через посредников)","Курсы для ищущих убежище; контакты мигрантов и лиц, имеющих право на получение убежища, с жителями Дрездена; образовательные и культурные события, платформа для обмена","Мы ""KAMA Dresden e. V."" позиционируем себя в качестве платформы для обмена культурными и образовательными предложениями. При этом предоставляются курсы, которые ведут мигранты, лица, получившие убежище, а также ищущие его. За содержательное оформление отвечают преподаватели курсов, объединение предлагает финансовую и организаторскую поддержку. Смысловая направленность разнообразна, например кулинарные курсы, языковые курсы, курсы ремесла, дискуссионные круги и так далее. Участие происходит на основе пожертвований. Мы работаем над динамичной сетью между работниками объединений, руководителями курсов и участниками этих курсов.",,,,,,,,,,,
"31","Ausländerbeirat","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Дрезден","Вторник, среда, четверг: с 10 до 12 ч. и в среду с 13 до 15 ч., а также по согласованию","49-351-463 34009",,"welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc","0","0","0","0","0",,,,,,,,,,,
"33","medinetz","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Дрезден","","0351/30990102, 0351/87451710",,"info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer","0","немецкий, английский, арабский, персидский, русский, французский, итальянский","Консультация, образовательный патронаж, образовательная работа, консультация по вопросу процедуры получения убежища, социальное попечительство ","0",,,,,,,,,,,
"35","traumaberatung","0","0","0","0","",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"36","gemeindedolmetscherdienst","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
