"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","Ponedeljkom 10:00-13:00 i 13:00-16:00; Utorkom 13:00-17:00; Sredom 14:00-17:00; Petkom 10:00-13:00","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","Nemački, engleski, portugalski, holandski, ruski, češki, arapski, perskijski","Savetovanje, kursevi integracije u društvo, informacije","Individualno savetovanje za migrante, kao i po dogovoru.",,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","0",,,0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ",,"Kursevi nemačkog- od opismenjavanja do kraja A1 nivoa znanja, testovi za procenu znanja jezika, nastavnici su dobrovoljci","Kursevi nemačkog počevši od alfabeta do kraja A1 nivoa, kroz šest nivoa teškoće, za azilante koji još uvek nemaju pravo na ESF ili integracione kurseve. Šesdest dobrovoljnih nastavnika će držati oko trideset kurseva nemačkog. Početak novog kursa i test provere znanja se održavaju četiri puta godišnje.",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","Kancelarija za konsultacije: petkom 16:00-18:00, u podrumu zajedničkih prostorija zgrade u ulici Florian-Geyer-Straße 48.","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","Nemački, engleski, drugi","Konsultacije, socio-kulturni sadržaj","Mi clanovi kontaktne grupe ,,Asylum"" (skraćeno KoGA), podržavamo azilante i izbeglice iz Drezdena da prevaziđu administrativne barijere i da ostvare prilike za stvaranje kontakata i sastanaka. Sa poštovanjem, mi radimo na snazi i potencijalu ovih ljudi i pružamo im pomoć kao zastupnici. Vodimo otvorenu kampanju protiv orepresivnih struktura i rasističkih predrasuda promovišući otvoreno i raznobojno društvo.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul",,"0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","Nemački, engleski","Kursevi nemačkog, pomoć individualcima, socio-kulturni sadržaj, umrežavanje (stvaranje mreže prijatelja i poznanika)","Kurseve nemačkog, različite težine, drže dobrovoljni nastavnici, što uključuje osnovni kurs alfabeta, postizanje A1/A2 nivoa kao osnov3 za državni test jezika, praćen grupama za vežbanje. Podrška i pratnja u radu sa vlastima, odlaska kod doktora, poslodavaca itd. Organizacija sporta i kulturnih aktivnosti, kao i zanatskih delatnosti (nem. ""handwerklicher Tätigkeiten""). Mesečni sastanci u centralnom smeštaju za izbeglice u Radebulu (nemački Radebeul).",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden",,"0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","Nemački, engleski","Kursevi nemačkog, pomoć u svakodnevnom životu (dnevnoj rutini), program za razonodu, sastanci sa azilantima i državljanima; pravljenje flajera, plakata i razglednica","Lokalna mreža ""Laubegast ist bunt"" (Labegas je šaren) radi od 2010. godine u promociji demokratije, otvorenosti i kosmopolitskog stava i tolerancije kao dela duha grada. Od 2014. godine pomoć izbeglicama je postala jedna od naših ključnih delatnosti.",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","Sedmični sastanci","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","Nemački, engleski","Ponude za razgovore, upoznavanje izbeglica i ljudi koji žive u Drezdenu, integracija putem zajedničkih kauč tura (nemački ,,Sofa-Touren""), događaji za izbeglice, rad na odnosima sa javnošću (sa kauč tura)-dobrovoljno, prilika za razgovor na nemačkom (vežbanje), interkulturalno",,,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden",,"01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","Nemački, engleski, francuski",,"Mreža ""Welcome to Löbtau"" (,,Dobrodošli u Lubtau"") želi da pruži podršku izbeglicama da stignu i smeste se u naš deo grada. Želimo da izgradimo odnos između lokalnog stanovništva i izbeglica. Organizacija se sastoji od posvećenih građana, crkvenih parošana, organizacija/klubova i političkih partija.",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","Sastanci po zakazivanju","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","Nemački, engleski, francuski","Formiranje radne grupe 20.02.2015, 17:00 na Festspielhaus Hellerau","Inicijativa ""Brücken schaffen"" (,,Izgradimo mostove) je kooperacija između crkvenih parošana, organizacija/klubova, političkih partija i lokalne centralne kancelarije (""Ortsamt"") gradskih okruga Kloše, Langebruk i Helerau (nemački Klotsche, Langebrück i Hellerau). Želimo da učinimo dolazak, integraciju i zajednički život sa građanima što lakšim i harmoničnijim mogućim za izbeglice i azilante.",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","Sastanci sa mentorom svakog drugog utorka u mesecu, 19:00 u Cabana (Kreuzstr.7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","Nemački, engleski","Mentorski program za preseljavanje izbeglica","Organizacija mentorsvta za izbeglice (preseljavanje i smeštaj). Politički aktivizam za poboljšanje programa preseljavanja u Nemčkoj i centar za koordinaciju svih programa mentorstva u Drezdenu.",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden",,"0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","Nemački, engleski","Novčana pomoć organizacijama za pomoć izbeglica u Drezdenu, edukacija u školama o izbeglištvu i azilu","Pružamo podršku izbeglicama i drugim grupama putem finansijkse pomoći i pružanja edukacije u školama po pitanju izbeglištva i azila.",,,,,,,,,,,
"10","RAA Sachsen Opferberatung - Unterstützung für Betroffene rechtsmotivierter und rassistischer Gewalt","Bautzner Str. 45 ","01099","Dresden","Sastanci po zakazivanju: ponedeljak - petak, 09:00- 18:00","(0351) 88 9 41 74
(0172) 9 74 12 68",,"opferberatung.dresden@raa-sachsen.de","http://raa-sachsen.de/index.php/dresden.html","0","0","0","Nemački, engleski","Pojedinačne, poverljive, besplatne konsultacije dostupne na više jezika, kao i podrška za žrtve rasizma, njihove rodjake, prijatelje i svedoke napada",,,,,,,,,,,,
"11","Willkommen in Hochland","Wachwitzer Höhenweg 10","01328","Dresden","Sastanci po zakazivanju","0",0.00,"ah1944@web.de","0","0","Michael Bockting, 
Andrea Schomberg, 
Ralf Wilhelm,
Herbert Effinger, 
Gebhard Ruess","0","Nemački, engleski","Kursevi nemačkog, mentorstvo, prikpupljanje donacija, odnosi sa javnošću, ponude za razgovor, program za razonodu","Cilj ove organizacije je poboljšanje uslova življena izbeglica i azilanata u Drezdenu i okolnim predelima. Nudimo pomoć i podršku pri dolasku u Drezden, kao i integraciju u stanovništvo. Nudimo savetovalište, brigu/podršku, razvoj prilika za zaposlenje, interkulturalne i druge događaje.",,,,,,,,,,,
"12","SPIKE Dresden","Karl-Laux-Str. 5","01219","Dresden","Svakodnevno 13:00-20:00, subotom je zatvoreno","0351/ 281 80 84",0.00,"kontakt@spikedresden.de","www.spikedresden.de","www.facebook.com/SPIKEdresden","Ellen Demnitz-Schmidt","Ellen Demnitz-Schmidt, Frank Meißner","Nemački, engleski","Program za razonodu, časovi nemačkog, kontakt sa stanovnicima i dobrovoljcima (pomoćnici), ekskurzije, prikljupljane donacija, pomoć u svakodnevnom životu, mentorstvo","Organizujmo pomoć/podršku azilantima u Lojbnic-Nojostra (nemački Leubnitz-Neuostra) i drugim predelima grada. Imamo prijateljsku i otvorenu atmosferu za sastanke, opuštanje, socijalnu inteakciuju, koordinaciju različitih predloga/ponuda, podršku i umrežavanje. Naše prostorije se mogu koristiti čak i nakon radnog vremena za specijalne akcije (npr. prepodne). Svake nedelje i srede od 16:00-20:00 posvećeni i zainteresovani ljudi su pozvani da upoznaju i uspostave kontakt sa azilantima, gde planiraju neke zajedničke aktivnosti.",,,,,,,,,,,
"13","AWO Sonnenstein gGmbH, Migrationsberatung für Erwachsene","Prohliser Allee 10","01239","Dresden","Ponedeljkom: 09:00 - 12:00 (podne), utorkom: 09:00 - 12:00 (podne) i 13:00 - 17:30","0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"14","AWO Sonnenstein gGmbH, Asylberatung","Prohliser Allee 10","01239","Dresden","Utorkom 13:00-17:00, petkom 09:00-12:00 (podne)","0351-26068027",0.00,"asyl@awo-sonnenstein.de","0","0","0","0",,,,,,,,,,,,,,
"15","ZMO-Jugend e.V.","Kipsdorfer Str. 100","01277","Dresden",,"0351 / 28 99 276",0.00,"zmo-jugend@web.de","www.zmo-jugend.de","Facebook.de/ZMO.Jugend.Dresden","Valentina Ohngemach,               Wladimir Tschurikow                ","Valentina Ohngemach,            Wladimir Tschurikow","Nemački, ruski","Konsultacije, ponude za razgovor i podršku, otvoreno obrazovanje, program za razonodu i slobodno vreme, sportski i muzički program, interkulturalni događaji","Nudimo ""Interkulturelle Begegnungsstätte für junge Menschen"" (,,Interkulturelno mesto za mlade"") koje je namenjeno deci, tinejdžerima kao i roditeljima, azilantima i stanovnicima. Ponudu prilagođavamo prema potrebama i interesovanjima naših posetioca i članovima. Od porasta broja izbeglica, naše usluge su posebno tražene od strane ove grupe ljudi. Umreženi smo sa profesionalnim servisima i institucijama zadužene za izbeglice.",,,,,,,,,,,
"16","Johannstädter Kulturtreff e.V.","Elisenstraße 35","01307","Dresden","Ponedeljak-četvrtak: 09:00-21:00; petkom 09:00-17:00","0351 4472823",0.00,"kontakt@johannstaedterkulturtreff.de","www.johannstaedterkulturtreff.de","https://www.facebook.com/pages/Johannst%C3%A4dter-Kulturtreff-eV/168294379862523?ref=tn_tnmn","Matthes Blank","0","Nemački, engleski","Program za razonodu, program za umetnost i kulturu, sportski program, interkulturalni događaji","U našim prostorijama i u ateljeima postoji prostor za časove, razne aktivnosti i projekte. Mogućnosti su brojne uključujući kuvanje, sport, susrete, umetnost i kulturu.",,,,,,,,,,,
"17","Verein Pro Pieschen e.V.","Arno-Lade-Straße 9","01129","Dresden",,"01778584201",0.00,"info@propieschen.de","www.propieschen.de","https://www.facebook.com/propieschen?ref=hl","Heidi Geiler","0",,"Distrikt mreža, informacije, koordinacija projekta",,,,,,,,,,,,
"18","Pieschen für alle","0","0","0",,"0",0.00,"info@pieschen-fuer-alle.de","www.pieschen-fuer-alle.de","https://www.facebook.com/propieschen?ref=hl","Anja Osiander","Heidi Geiler",,,,,,,,,,,,,,
"19","Bündnis Buntes Meißen","0","01662","Meißen",,"0",0.00,"info@buntes-meissen.de","www.buntes-meissen.de","https://www.facebook.com/pages/Buntes-Meißen/","Andreas Bärisch/Kathleen Nagler","0",,"Program za razonodu, sponzorstvo, kursevi nemačkog",,,,,,,,,,,,
"20","MEDEA Frauen-und Mädchengesundtheitszentrum e.V.","Prießnitzstr.55","01099","Dresden","Utorak-četvrtka 14:00-17:00, četvrtak 10:00-12:00, (podne) po zakazivanju","0351-8495679; 015750979006",0.00,"medea-m-gupte@dmx.de","www.medea-dresden.de","0","Anke Müller-Gupte","0","Nemački, engleski, prevodilac dostupan po potrebi","Zdravstvene konsultacije, otvoreni sastanci","Zdravstveno savetovalište (psihologija, ishrana, prevencija, trudnoća, alternativna medicina...) kao i sastanci za žene. Svakog četvrtka 10:00-12:00 (podne), osim praznicima/ odmorima, se održava ženski doručak, četvrtkom 16:00-18:00 se održava sastanak za žene i decu KHJ Gorbitz (počevši od marta ovaj sastanak će se održavati sredom 16:00-18:00).",,,,,,,,,,,
"21","AG Asylsuchende [GRH]","0","0","Großenhain",,"0",0.00,"ag_asylsuchende_grh@riseup.net","0","0","0","0","Nemački, engleski","Program za razonodu za azilante, edukacija protiv rasizma (pogledajte blog)",,,,,,,,,,,,
"22","Ausländerrat Dresden e.V.","Heinrich-Zille-Straße 6 ","01219","Dresden","Ponedeljak-sreda i petak 10:00-16:00","0",0.00,"info@auslaenderrat.de","www.auslaenderrat-dresden.de","www.facebook.com/Auslaenderrat.Dresden","Markus Degenkolb","0","Nemački, engleski, ruski, arapski","Konsultacije, sponzorstvo za obrazovanje, otvoreni sastanci (za žene, očeve, omladinu,...), promocija sporta, obrazovni program",,,,,,,,,,,,
"23","Prohlis ist bunt","Prohliser Allee 33","01239","Dresden","Ponedeljkom 10:00-13:00, utorkomm 13:00-17:00, četvrtkom 11:00-15:00","0351-27 272 16",0.00,"prohlis-ist-bunt@web.de; info@qm-prohlis.de","www.quartiersmanagement-prohlis.de","0","Veronika Gottmann","Veronika Gottmann","Nemački, engleski","Lokalna mreža u Prolisu (nemački Prohlis), sastanci za učenje nemačkog, program za razonodu, mentorstvo, pravljenje flajera","Mreža ""Prohlis ist bunt"" (""Prolis je šaren"") je udruženje klubova, institucija, gradskog biroa, lokalne kancelarije, crkvene parohije i političkih partija u Prolisu, čiji je cilj uspostavljane atmosfere dobrodošlice u region. Glavni ciljevi su umrežavanje i saradnja sa glavnom mrežom na projektima. Mreža postoji od proleća 2014. godine.",,"Naša mreža ""Prohlis ist bunt"" (= Prohlis je šaren)  je kooperacija između udruga, ustanova, lokalne centralne kancelarije (""Ortsamt"") gradskih okruga, crkvenih parošana i političkih partija u Prohlis-u. želja inicijative je, tražiteljima azila i izbeglica",,,,,,,,,
"24","Leuben ist bunt","Rottwerndorfer Str. 1","01257","Dresden","Ponedeljkom 15:00-18:00, sredom 15:00-18:00, četrvrok 9:30-12:00 (podne), petkom 10:00-13:00","0351-2728489",0.00,"leuben@vsp-dresden.de","www.vsp-dresden.org","0","Andreas Ermer","Katrin Baumgart","Nemački, engleski","Lokalna mreža, časovi nemačkog, sponzorstvo, sportski program, sastanci, festivali","Naša mreža ""Leuben ist bunt"" (""Lajben je šaren"") čine predstavnici gradskih biroa, crkvene parohije i kancelarije za mlade u Lajbenu.",,"Naša mreža ""Leuben ist bunt"" (= Leuben je šaren) se sastavlja od zastuptinka lokalne centralne kancelarije (""Ortsamt"") gradskih okruga, crkve i organizacije za pomoć mladeži (Jugendhilfe)",,,,,,,,,
"25","Saxonia Systems AG","Fritz Förster Platz 2","01069","Dresden","Ponedeljak- petak 10:00-16:00","0351-47901670",0.00,"tina.gruhl@saxsys.de","0","0","Tina Gruhl","Tina Gruhl","Nemački, engleski","Mreža i posredovanja, kontak sa dugim institucijama, časovi nemačkog, obrazovanje na polju informacionih tehnologija (IT) (preko zavoda za zapošljavanje Drezden), aplikacije za mobine telefone","Kao kompanija koja se uspostavila u društvu, želimo da preuzmemo odgovornost i da pomognemo koliko možemo. Imamo blisku saradnju sa ,,Sächischen Flüchtlingsrat"" (,,Saksonski savet za izbeglice"") i sa federalnom agencijom za zapošljavanje. Ipak, nismo udruženje koje sprovodi direktne aktivnosti sa izbeglicama, ali želimo da pružimo podršku kroz našu mrežu.",,"Mi kao firma želimo, koliko god možemo, poduzeti odgovornost. Mi stojimo u intenzivnoj suradnji sa agencjiom za zapošljavanje (Arbeitsagentur) i saksonskim vjećem za izbeglice (sächsicher Flüchtlingsrat). Iako nismo udruga za javne aktivnosti, ipak u svak",,,,,,,,,
"26","Netzwerk ""Gorbitz International""","Leutewitzer Ring 35 ","01169","Dresden","Konsultacije sredom 10:00-12:00 (podne) u azilu u QM Gorbitz; Sastanci po zakazivanju za ,,NW Gorbitz International"".","0351-3225728",0.00,"kontakt@qm-gorbitz.de","www.qm-gorbitz.de","0","Wolfgang Mueller, Ulrich Krause","0","Nemački, engleski","Umrežavanje, upravljanje ponudama iz gradskih okruga, sastanci u vezi ,,Gorbitz International"" u QM radnji, članak u lokalnim novinama WesthangPost (svaka tri meseca); lokalni festival 'WesthangFest'","Mreža ""Gorbitz International"", je udruženje ljudi is Gorbica (nemački Gorbitz) i okruženja, se sastoji od predstavnika različitih udruženja, crkvene parohije, političkih partija i klubova. Zajednički cilj nam je da se zauzmemo za dobre odnose u susedstvu i da održimo otvorenu i atmosferu dobrodošlice. Unutar mreže postoje podgrupe i projekti kao što su: zajednički kafic, radna grupa za organizaciju i odnos sa javnošću, zajednička bašta i tako dalje.",,"Mreža ""Gorbitz International"" je savez žena i muškaraca iz Gorbitz-a i okolice, kao i zastupnika udruga, crkvenih parošana, organizacija/klubova i političkih partija, koji svi žele sudelovati i postići dobro susedstvo i stvoriti klimu dobrodošlice za ljud",,,,,,,,,
"27","Internationale Gärten Dresden e. V.","Pfotenhauerstraße 103","01307","Dresden","Svake prve srede u mesecu","0151-53907002",0.00,"info@gaerten-ohne-grenzen.org","www.gaerten-ohne-grenzen.org","0","Manpreet Singh, Mohammad Al Masalme, Mattes Hoffmann","0","Arapski, ruski, kurdski, pandžabi, kineski, japanski, albanski, engleski, francuski, španski, ukrajinski, češki, persijksi","Zajednička bašta, časovi, kulturni program",,,,,,,,,,,,
"28","LAG politisch-kulturelle Bildung Sachsen e. V.","Schützengasse 18","01067","Dresden",,"0174-8032276",0.00,"kontakt@pokubi-sachsen.de","www.pokubi-sachsen.de","0","Kerstin Knye","Kerstin Knye","Nemački, engleski, (ruski, ukrajinski, španski, portugalski po dogovoru)",,"Već duži niz godina radimo na temama kao što su rasizam, migracija, izbeglištvo, azil i nudimo dalju edukaciju za radnike i volontere. Glavna tema je kako reagovati na rasizam i kako ga kritikovati. Nudimo seminare za osobe koje su bile žrtve rasizma, takođe. Datumi, sadržaji i specifične potrebe se mogu dogovoriti.",,"Puno godina se vec bavimo sa temama: rasizam, migracije, izbeglistvo i azil. Uostalom nudimo daljnje obrazovanje za ""multiplikatore"". Centralno pitanje je, kako bi se moglo prema rasizmu kritično postupati. Nudimo seminare (tecaje) za one, koje su doživel",,,,,,,,,
"29","Netzwerk Asyl Migration Flucht (NAMF)","Prohliser Allee 10","0","Dresden",,"015752430666",0.00,"namf@notraces.net","www.namf.blogsport.de","0","Stefan Stein","0",,"مزيد من التعليم والمشاريع والضغط السياسيالتعارف الخ","Politička inicijativa za prava izbeglica i migranata, i protiv rasizma. Aktivnosti sprovodimo kroz e-mail listu, kroz koju pojedinci i grupe mogu da razmenjuju informacije i da se organizuju. Da biste se pridružili našoj listi pošaljite e-mail na adresu: namf@notraces.net.",,"Politička inicijativa za pravo izbeglica, migranta i protiv rasizma. Organizacija i razmena informacija je preko naše Email-liste za pojedinacne osobe ili grupe moguće. Za upis u Email-listu, pošaljite zahtjev na: namf@notraces.net.",,,,,,,,,
"30","KAMA Dresden e.V.","0","0","Dresden","Svake prve srede u mesecu u Literaturhaus Villa Augustin (adresa je Antonstr 1); svakog trećeg četvrtka u mesecu, u AZ Conni, oba sastanka počinju u 19:00; i po dogovoru.","",0.00,"kama-dresden@riseup.net","www.kama-dresden.org","https://www.facebook.com/kamadresden?fref=ts","Carmen Burkel","0","Nemački, engleski, fancuski, portugalski, (arapski, tigrinja po dogovoru)","Kursevi koje održavaju azilanti, migranti i osobe koje imaju pravo na azil za građanje Drezdena; obrazovno-kulturni program,platforma za razmenu",,,"Mi, ""KAMA Dresden e.V."", se shvačamo kao platforma za razmenu preko kulturalne ponude i ponude obrazovanja. Izbeglice i migranti nude kurseve po njihovim uvetima. Naša udruga nudi financijsku i organizacijsku podršku. Kursevi su razliciti: npr. kursevi za",,,,,,,,,
"31","Ausländerbeirat","0","0","0",,"0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"32","Welcome Center TU Dresden ","Nürnberger Str. 31a","01187","Dresden","Utorkom, sredom i četvrtkom 10:00 - 12:00 (podne), sredom 13:00-15:00 i po dogovoru.","49-351-463 34009",,"welcome.center@tu-dresden.de","http://tu-dresden.de/internationales/welcomecenter/startseite/welcome_center","http://www.facebook.com/welcomecenter.DDc","0","0",,,,,,,,,,,,,,
"33","medinetz","0","0","0",,"0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Dresden","Utorkom i sredom: 11:00 - 15:00; petkom 11:00 - 13:00; ponedeljkom i četvrtkom po dogovoru","0351/30990102, 0351/87451710",,"info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer","0","Nemački, engleski, arapski, persijski, ruski, francuski, italijanski","Konskultacije, mentorstvo u vezi obrazovanja, obrazovni program, konsultacije u vezi procedure za azil, socijalna podrška",,,,,,,,,,,,
"35","traumaberatung","0","0","0",,"",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"36","gemeindedolmetscherdienst","0","0","0",,"0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta","0","0","0",,"0",0.00,"0","0","0","0","0",,,,,,,,,,,,,,
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Dresden","Četvrtkom 13:00 -16:00","Prohlis: 0157 38524468 u.Leuben 0152 54918797",0.00,"asyl@caritas-dresden.de","",,"Herr Dietze , Herr Fried","0","Arapski, ruski, engleski",,"Koordinacija ponuda za azilante u Prolisu i Lajbenu (nemački Prohlis i Leuben), volonterski rad.","socijalno savetovanje i pratnja za izbeglice u Prohlis-u i Leubenu; koordinacija razlicitih ponuda za izbeglice","Koordinacija ponuda za tražitelja azila u Prohlis-u i Leuben-u",,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen","0","0","0",,"0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen","0","0","0",,"0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz","0","0","0",,"0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Dresden","Ponedeljak- četvrtak 09:00 - 17:00, petkom 09:00 - 13:00","0351 4843803",,"viaa.dd@t-online.de","www.convectus.de","0","Dr. Ingrid Blankenburg","0",,,"Pogledajte našu internet stranicu.",,"pogledajte na web stranicu",,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Dresden","Ponedeljkom po ugovoru i utorkom 13:00-17:30","0351 4984746 /745/ 742",,"jmd@caritas-dresden.de","www.caritas-dresden.de","0","0","0","0","Konsultacije za migrante do dvadeset sedme godine života radi lakšeg usvajanja jezika, obrazovanja, stažiranja, studiranja i karijere","JMD je centar za konsultaciju mladih migranata, do dvadeset sedme godine života. Cilj su saveti po pitanju obrazovanja, jezika, studija i karijere. U našem centru postoji i specijalista za zaštitu dece (krivični čin §8a VIII).",,"JMD je savetovalište za mlade migrante do 27 godina. Težište rada je savetovanje u pogledu na školu, jezik, posao i fakultet. Dalje postoji i stručnjak za zaštitu dece (§ 8a SGB VIII).",,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Dresden","Petkom 14:00-19:00","0172-3434059 (Pune)
0163-1628201 (Fabiane)",0.00,"0","0","0","0","0","0","0",,,,,,,,,,,,
