"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","ሶኒ 10-13 እና 13-16; ሰሉስ 13-17; ረቡዕ 14-17; ዓርቢ 10-13","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","ቋንቋታት ኢንግሊዝ: ጀርመን:  ፖርቱጋል:ዳች: ሩስያ:ቸክ: ዓረብ:ፋርስ","ምኽሪ: ኢንተግሬሽን ኮርስ: ሓበሬታ","ኣብ ጠለባት ዝተመርኮስን ውልቃውን ምኽራዊ ሓገዛት ንስደተኛታት ነበርክት።",,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","0",,"0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","ትምህርቲ ቋንቋ ጀርመን:  ምፍላይ ደረጃታት:  ናይ ብቕዓት መርመራ:  ወለንታዊ ","ትምህርቲ ቓንቓ ጀርመን ካብ ፊደላት ጀሚርካ በብደረጅኡ ክብደቱ ዝውስኽ 6 መሳልል ዘጠቃለለ ክሳብ መወዳእታ A1 ን ሓተቲ ዕቑባ ከሳብ ሕጂ መሰል/ዕድል ናይ ESF-ወይ ናይ ምውህሃድ ኮርሳት። 60 ወለንተኛታት መማህራን : ከባቢ 30 ኮርሳት ቓንቓ ጀርመን። ሓደስቲ ኮርሳት ምጅማርን ምደባ/ፈተና 4 ሳዕ ኣብ ዓመት ይሀሉ።",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","","ምኽሪ ኣገልግሎት፥ ኩሉ ጊዜ ዓርቢ ካብ 16:00  ክሳብ 18:00 ኣብ ታሕቲ እቲ ናይ ሓባር መንበሪ ኣድራሻ፣ Florian-Geyer-Straße 48","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","ቋንቋታት ኢንግሊዝን ጀርመንን ክልኦትን","ምኽሪ: ማሕበረ-ባህላዊ ንጥፈታት","ንሕና ኣባላት ርክብ ጉጅለ ዑቅባ (e. V.; short KoGA) : ንሓተቲ ዑቕባን ስደተኛታትን ኣብ ድረስደን (Dresden) ኣብ ምምሕዳራዊ መዳይ ንዝሀሉ ማሕለኻታት ንምብዳህ ንሕግዝ ከምኡ'ውን  ዕድላት ናይ ርክብን ኣኼባታትን ኣብ መፍጣር ንተሓጋገዝ። ሓያል ጎንታትን ዓቕምን ናይዞም ሰባት ኣብ መህናጽን ከም ወኪል ኮይንና ምዝራብን ንተሓጋገዝ። ኣንጻር ጨቓኒ መስርዕን ዓሌታዊ ኣድልዎን ዘመተ ነካይድ ከምኡ'ውን ን ክፉትን ሕብራውን ሕብረተሰብ ንድግፍ ።",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul","","0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","ቋንቋታት ኢንግሊዝን ጀርመንን","ትምህርቲ ቋንቋ ጀርመን: ውልቃዊ ምኽርን ሓገዝንማሕበረ-ባህላዊ ንጥፈታት: ምትእኽኻባትን ማባራዊ ምትእስሳራን","0",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","ቋንቋታት ኢንግሊዝን ጀርመንን","ትምህርቲ ቋንቋ ጀርመን:ሓገዛት ኣብ ዕለታዊ ንጥፈታት: ናይ ምዝንጋዕ መደባት: ስደተኛታትን ነበርትን ናይ ምርኻብ መደብ: ምዝርጋሕ ሓበሬታ ብፋንፍሌትን ፖስትካርድን  ",,,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","ሰሙናዊ ርክብ (ኣኼባ)","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","ቋንቋታት ኢንግሊዝን ጀርመንን","ናይ ምምይያጥ መደባት: ኣብ መንጎ ሓተቲ ዑቕባን ድርሰስደናውያንን ናይ እስሳራት ምፍጣር: ምስ ሕብረተሰብ ምውህሃድ ብሓባራዊ ናይ ሶፋ ናይ ዑደት መደባት: መደባት ንስደተኛታት: ስሩዕ ርክባት: ሕብረተሰብ ንምውህሃድ ናንማሕበራዊ ርክባት መደብ(ብመንገዲ ሶፋ): ውልቃዊ ተበግሶታት: ቋንቋ ጀርመን ምዝራብ:ሓድሕድ ባህላዊ ንጥፈታት",,,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","ቋንቋታት ኢንግሊዝ: ጀርመን: ፈረንሳይ","0","ውሽጣዊ መርበብ ""መርሓባ ናብ ሌብታው"" (""Welcome to Löbtau"") ኣብ ከባቢና ን ዝኣትዉ/ዝሰፍሩ ስደተኛታት ንምሕጋዝ ንደሊ። ኣብ ሞንጎ ስደተኛታትን ደቒ ዓድን ርክብ ንምምስራት ንደሊ። እዚ መርበብ ውፍያት ደቒ ዓድን: ክርስትያናዊ ማሕበራት: ማሕበራት/ክለባት ከምኡ'ውን (ፖሎቲካዊ) ፓርትታት።",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","ቆፀሮ ሕቶ ብምቕራብ ኣሎ","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","ቋንቋታት ኢንግሊዝ: ጀርመን: ፈረንሳይ","ምምስራት ናይ ስራሕ ጉጅለታት ኣብ ዕለት 20.02.2015 ሰዓት 17:00 ኣብ ፈስትሽፒል ሃውስ ሄለራው ( Festspielhaus Hellerau) ","ተበግሶ ""ህንጸት ድልድል"" (""build bridges"") ምትሕግጋዝ ኣብ መንጎ ናይ ቤተክርስትያን ምትእኽኻብ : ማሕበራት/ክለባት : (ፖሎቲካዊ) ፓርትታትን ከባብያዊ ማእከላይ ቤት ጽሕፈት  (""Ortsamt"") ክሎትሽ(Klotsche), ላንገብሩኽ(Langebrück) ን ሄለራውን (Hellerau) (ዞባታት ከተማ). ድሌትና ን ምእታው:ውህደትን ብሓባር ምቕማጥን/ ኮማዊ ናብራ ምስ ነባሮ ብዝቐለለን ሰለማውን/ውህድን ን ሓተትቲ ዑቕባን ሰደተኛታትን እዩ።",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","ናይ መማኸርቲ ኣኼባ ኩሉ ጊዜ ሰሉስ 19 ኣብ Cabana (Kreuzstraße 7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","ቋንቋታት ኢንግሊዝን ጀርመንን","ናይ ምወላ መደባት ንምጥያስ ስደተኛታት","ንስደተኛታት ምኹስካስን(ዳግመ-ምስፋርን መንበሪ ምውዳድን) : ፖሎቲካዊ ንጥፈት ን ምምሕያሽ ዳግመ-ምስፋር መደባት ናይ ጀርመንን ማእከላይ ምውህሃድ ምኹስካስ ኣብ ድረስደንን።",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden","","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","ቋንቋታት ኢንግሊዝን ጀርመንን","ንስደተኛታት ንውትብባዕ ዝውዕል ምወላናይ ስልጠና መደባት ኣብ ኣብያተ- ትምህርቲ","ንናይ ስደተኛታት ረድኤትን ካልኦት ጉጅለታት ብ ገንዘብ ንድግፍ ከምኡ'ውን ብ ምምላጥን/ምህዳምን ምዑቓብን ዝብል ኣርእስቲ ን ቤት-ትምህርትታት ትምህርቲ ነማዕብል።",,,,,,,,,,,
