"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","lun 10:00-16:00; mar 13:00-17:00; mer 14:00-17:00; ven 10:00-13:00","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","tedesco, inglese, portoghese, olandese, russo, ceco, arabo, persico","consulenza, corsi di integrazione, informazioni","Servizio di consulenza individuale e orientato ai bisogni per migranti e rifugiati.",,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","Dresden","0","0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","corsi di tedesco: classificazione di livello, alfabetizzazione, A1, test di classificazione, volontariato","Corsi di alfabetizzazione fino all'A1 in sei libelli per rifugiati e asilanti, che non hanno ancora diritto a corsi di integrazione. 60 insegnanti volontari mettono a disposizione circa 30 corsi. Quattro test di classificazione e riavvio dei corsi annuali.",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","servizio di consulenza: venerdì 16:00-18:00 nella cantina della residenza condivisa Florian-Geyer-Straße","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","tedesco, inglese, altre","consulenza, servizi sociali e culturali, ...","Supporto di rifugiati e asilanti per il superamento dei molteplici ostacoli burocratici. Offriamo opportunità di contatto e incontro. Attacchiamo con rispetto al potenziale delle persone e ci mettiamo a disposizione come punto di riferimento indipendente. Ci impegnamo contro strutture repressive e pregiudizi razzisti come per una comunità solidale e colorata.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul","0","0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","tedesco, inglese","corsi di tedesco; aiuto individuale; offerte sociali e culturali; collezioni","Corsi di tedesco con insegnanti volontari per diversi livelli inclusi corsi di alfabetizzazione. Obiettivo A1/A2 come base per corsi di lingua finanziati dallo stato e corsi di perfezionamento. Accompagnamento dei rifugiati dagli enti pubblici, medici, datori di lavoro etc.. Organizzazione di eventi sportivi e culturali e attività artigianali. Punto di incontro mensile nell'alloggio centrale a Radebeul.",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","tedesco, inglese","corsi di tedesco; aiuti per la vita quotidiana, offerte per il tempo libero, eventi per asilanti e residenti; volantinaggio","La rete sociale Laubegast ist Bunt si impegna già dal 2010 per la promozione della democrazia, tolleranza e apertura al mondo. L'aiuto dei rifugiati è dal 2014 uno dei nostri punti centrali",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","appuntamenti settimanali","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","tedesco, inglese","offerte di discussione; avvicinamento fra asilanti e residenti; integrazione attraverso tour in poltrona collettivi; eventi per asilanti; incontri periodici; pubbliche relazioni per l'integrazione (con la poltrona); volontariato; interculturale; parlare tedesco",,,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","tedesco, inglese, francese","0","La rete sociale ""Benvenuti a Löbtau"" supporta i rifugiati ad entrare nel nostro quartiere. Attraverso il nostro lavoro vogliamo creare un ponte tra vecchi e nuovi inquilini di Löbtau. Nella rete sociale fanno parte cittadini impegnati, associazioni religiose, circoli e diversi partiti",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","su appuntamento","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","tedesco, inglese, francese","Gründung von Arbeitsgruppen am 20.2.15 um 17:00 Uhr im Festspielhaus Hellerau","L'iniziativa ""Creare Ponti"" è una cooperazione di circoli, associazioni religiose, partiti, uffici dei quartieri di Klotzsche, Hellerau, Langebrück, con l'obiettivo di progettare armoniosamente la coabitazione di cittadini e asilanti e l'integrazione e l'arrivo dei rifugiati.",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","Ogni secondo martedì del mese alle 19:00 da Cabana (Kreuzstraße 7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","tedesco, inglese","Patenschaftsprogramm für Resettlementflüchtlinge","Mediazione di finanziamenti per rifugiati (insediamento e accoglienza), impegno politico per un miglioramento del programma sull'insediamento della Germania e cooridnazione di tutte le sponsorizzazioni / finanziamenti di Dresda.",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden","0","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","tedesco, inglese","fondi per la promozione e aiuto di asilanti; opportunità educative per scuole","Supportiamo l'aiuto per rifugiati di altri gruppi attraverso una messa a disposizione di finanziamenti dai nostri fondi di proprietà. Sviluppiamo opportunità di educazione per scuole sul tema fuga, rifugio e asilo.",,,,,,,,,,,
