"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","Monday 10am-1pm and 1pm-4pm; Tuesday 1pm-5pm; Wednesday 2pm-5pm; Friday 10am-1pm","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","انگریزی، جرمن، پرتگالی، ڈچ، روسی، چیک، عربی، فارسی","مشاورت، انضمام کورس، معلومات",,,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","Dresden",,"0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ",,"جرمن کورس ۔ سطح درجہ بندی، خواندگی، پلیسمیںٹ A1، امتحان، رضاکارانہ طور پر،","جرمن کورس الپحبیٹاسشن سے چھ مشکل سطحوں کے ذریعے A1 کے خاتمے کے لئے شروع کر رہا ہے، سیاسی پناہ کے لیے متلاشیوں جو اب بھی دائیں/تک رسائی ایسف - یا انضمام کے کورس نہیں ہے ۔ 60 رضاکارانہ اساتذہ ca. 30 جرمن کورس سکھائے جائیں گے ۔ نئے کورس اور پلیسمیںٹ/گریڈنگ ٹیسٹ کا آغاز سال میں چار مرتبہ کی جگہ لے",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","مشاورت کی خدمات: جمعہ 4-6 بجے شام فرقہ وارانہ رہائش فلوریان گیئر روڈ 48 کے تہہ خانے میں","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","جرمن، انگلش، دیگر","براتونگ، سوزیوکولراللی انگیبوٹی،...","ہم پناہ (مشرقی V.؛ مختصر کاوگ)، رابطہ گروپ کے اراکین کی حمایت پناہ گزینوں اور پناہ کے متلاشیوں ڈریسڈن میں انتظامی رکاوٹوں پر قابو پانے اور سے رابطہ کرنے کے مواقع اور دوستانہ ملاقاتوں کی تخلیق کے لئے ۔ عزت کے ساتھ ہم طاقت اور ان لوگوں کے امکانات پر تعمیر اور ہر طور پر مدد فراہم کرتے ہیں ۔ ہم کھل کر جابرانہ سٹوکقریس اور راکسٹاک تعصبات کے خلاف مہم اور ایک رنگا رنگ اور کھلے معاشرے کو فروغ دینا ہے ۔",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul",,"0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","جرمن, انگریزی","جرمن کورس، انفرادی مدد اور حمایت، سماجی وثقافتی سرگرمیوں, مجموعے, نیٹ ورکنگ","جرمن کورس الپحبیٹاسشن کورس، سٹیٹوٹرال مطلوبہ زبان کا کورس، اعزازی ورزش گروپوں کی بنیاد کے طور پر A1/A2 سطح کا کارنامہ سمیت رضاکار اساتذہ کی طرف سے دی گئی مختلف سطحوں کے لئے ۔ معاونت/ساتھی حکام، ڈاکٹر، آجروں، وغیرہ ۔ کھیل اور ثقافتی سرگرمیوں اور 'حنڈورکلاچر Tätigkeiten' کی تنظیم ہے ۔ ماہوار اجلاسوں میں ریڈبیول میں مرکزی انٹرکونفٹ اسٹآسچ کے لئے",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden",,"0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","جرمن, انگریزی","جرمن کورس، مدد/مدد روزمرہ کی زندگی معمول کی زندگی/روز تفریحی سہولتوں، پناہ گزین اور رہائشی، اشتہاری، پلے کارڈز، کارڈ کی تخلیق کے درمیان ملاقاتوں میں","مقامی نیٹ ورک 'لاوبیگسٹ یکم bunt' (لاوبیگسٹ ہے رنگین) جمہوریت کے فروغ، open-mindedness کے لیے 2010 کے بعد سے وورکاس / المشرب رویوں اور رواداری کے شہر کے اس حصے میں ہیں ۔ 2014 کے بعد مہاجرین کی امداد ہماری اہم موضوعات میں سے ایک بن چکا ہے ۔",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","ہفتہ وار ملاقاتیں","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","جرمن, انگریزی","' کام انضمام (سوفی کے ساتھ)، رضاکار، پہچانتے جرمن (مشق، مشق)، بات کرنے کے لئے پیشکش مکالموں، پناہ گزین اور ڈریسڈن، انضمام کے مشترکہ سوفی سیاحت (دوسرے لوگوں کے ساتھ hopping صوفہ؟) کے ذریعے سے لوگوں کے درمیان واقعات پناہ گزینوں کے لئے باقاعدہ ملاقاتیں، نیٹ ورک کے لیے تعلقات عامہ بین الثقافتی '",,,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden",,"01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","جرمن, انگریزی, فرانسیسی",,"' نیٹ ورک ' کا خیر مقدم کرنے Löbtau ' آمد/شہر کے ہمارے حصے میں طاری کے نیچے پناہ گزینوں کی حمایت کرنا چاہتی ہے ۔ ہم نے پناہ گزینوں اور لوکال کے رہائشیوں کے درمیان روابط فورج چاہتے ہیں ۔ نیٹ ورک وقف شہریوں، چرچ کلیساؤن، انجمن/کلبوں اور (سیاسی) جماعتوں کے پر مشتمل ہوتا ہے ۔ ۔ '",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","تعین ملاقات کی درخواست پر دستیاب","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","جرمن, انگریزی, فرانسیسی","20.2.15، فیسٹسپیلحوس ہیلراو پر 17:00 پر ورکنگ گروپس کے قیام","' اقدام 'تعمیر پل ' تعاون ہوتا ہے ایک چرچ کلیساؤن، انجمن/کلبوں، (سیاسی) جماعتوں اور مقامی مرکزی دفتر (' اورٹسامٹ ') کلوٹسکہی، Langebrück اور ہیلراو (شہر اضلاع) ۔ ہم آمد، انضمام اور رہائشیوں سے کحباٹیاون/فرقہ وارانہ زندگی کو آسان اور پُرامن/ایقاعی ممکنہ طور پر پناہ گزینوں اور پناہ کے متلاشیوں کے لئے بنانا چاہتے ہیں '",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","اجلاس ہر دوسرا منگل مرشد 7pm at Cabana (Kreuzstraße 7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","جرمن, انگریزی","پروگرام کی باز آبادکاری کے پناہ گزینوں کے لئے رہنمائی","' مانٹرنگس کی ثالثی برائے مہاجرین (باز آبادکاری اور رہائش؟) ۔  جرمنی اور ڈریسڈن میں تمام مانٹرنگس کا سینٹرل کوآرڈینیشن کی باز آبادکاری کے پروگرام کی بہتری کے لئے سیاسی مشغولیت.'",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden",,"0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","جرمن, انگریزی","ڈریسڈن، فرار ہونے اور پناہ گزینوں کے بارے میں اسکولوں کی تعلیم میں پناہ گزین تنظیموں کے لئے مالی امداد","ہم نے امداد کے پناہ گزین اور دیگر گروپوں کی طرف سے/کے ذریعے مالی امداد کی معاونت اور اسکولوں کے لئے فرار اور پناہ کے موضوع پر تعلیم مواد تیار ہیں ۔",,,,,,,,,,,
