"ID";"name";"category";"arrival";"openinghours";"description"
1;"Bibliothek des Antifaschismus مكتبة معاداة الفاشستية";"مكتبات";"الترام 3, 14, حافلة 74 → Felsenkeller";"Tue. 9.30–11.30h, Thu.15–17h
";
2;"Drugscouts";"مكتبات";"الترام 9, 10, 11, 16 → Wilhelm-Liebknecht-Platz";"Mon., Fri. 11–15h Tue., Thu.13–17h";"مكتبة حاضرة فيها معلومات عن الإدمان و المعالجة منه"
3;"Zentrale Stadtbibliothek Leipzig مكتبة لايبزغ المركزية";"مكتبات";"الترام 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";"Mon.–Fri. 10–19h 1. Mon. of the month 13–15h 4. Wed. of the month 16–18h Sat.10–14h

";" مجلات و كتب بالفرنسية و الانكليزية و الاسبانية و الايطالية"
4;"Albertina Unibibliothek";"مكتبات";"الترام 2, 8, 9, 14 → Neues Rathaus";"Mon.–Sat. 8–24h";"مجلات (فرنسي، انكليزي، روسي، اوكراني، صربـي...) في الصالة الغربية"
5;"Bibliothek der Rosa–Luxemburg–Stiftung مكتبة المؤسسة روزا لوكسمبورغ";"مكتبات";;"Mon.–Thu. 9–17.30h Fri. 9–12h";"مكتبة حاضرة لأدب السياسة المجتمعية و سياسة اليسار و تاريخها
"
6;"MONAliesA";"مكتبات";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Tue.–Thu.15–19h";"مكتبة متخصصة للنساءمكتبة متخصصة للنساء"
7;"Umweltbibliothek مكتبـة البيئـة     ";"مكتبات";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Mon., Wed. 9–18h Tue., Thu.13–18h
";
8;"Eine Welt Bibliothek مكتبة العالم";"مكتبات";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Mon.–Fri.10–16h";"مكتبة أدب حول مواضيع مختلفة عن العولمة، الأديان، التاريخ إلخ"
9;"Conne Island";"مكتبات";"الترام 9 → Koburger Brücke";"Tue.–Thu. 17–20h";"مركز معلومات و مكتبة فيها مواد حول الحركات الاجتماعية، اليسارية و الحركات المتحررة البديلة"
10;"Bunte Büchothek";"مكتبات";"الترام 3, 8 → Torgauer Platz";"Wed., Fri. 5–18h";"١٤٠٠ كتاب للأطفال و اليافعين بأكثر من ٤٠ لغة، تبادل ثقافي، تعلم لغات قراءات وأكثـر"
11;"Wagenplatz Karl Helga";"عناوين و مواعيد";"الترام 14 → Gießerstraße";"Mon. 20H";
12;"Plaque";"عناوين و مواعيد";"الترام 14 → Gießerstraße";"Thu. 20H";
13;"sublab";"عناوين و مواعيد";"الترام 14 → Karl-Heine–Str. / Merseburgerstr.";"Sat. 20h";
14;"Bäckerei";"عناوين و مواعيد";"الترام 8, 15 → Lützner-/ Merseburger Str.";"Mon.19h";
15;"Hinz und Kunz";"عناوين و مواعيد";"الترام 7 → G.–Schwarz- / Merseburger Str.";"Sat. 10h";
16;"Schwarz 10";"عناوين و مواعيد";"الترام 7 → G.–Schwarz- / Merseburger Str.";"Thu. 20h , Sun. 10 h";
17;"Libelle";"عناوين و مواعيد";"الترام 1, 2, 8, 14 → Westplatz";"Sat. 20h";
18;"B12";"عناوين و مواعيد";"الترام 10, 11 → Südplatz";"Tue. 20h";
19;"Similde";"عناوين و مواعيد";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Tue. 20h , Thu. 20 h";
20;"Manfred";"عناوين و مواعيد";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Thu. 20h";
21;"Liwi";"عناوين و مواعيد";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Sun. 20h";
22;"Zoro";"عناوين و مواعيد";"الترام 9, 10, 11, حافلة 70, 89, 107 → Connewitzer Kreuz";"Tue. 20h";
23;"2ek";"عناوين و مواعيد";"الترام 4, حافلة 70, 72, 73 → Breite Str.";"Sun. 15.30h";
24;"Atari";"عناوين و مواعيد";"الترام 4, حافلة 70, 72, 73 → Breite Str.";"Mon. 20h";
25;"N.U.R.";"عناوين و مواعيد";"الترام 1, 3, 8, حافلة 70 → H.–Liebmann– / Eisenbahnstr.";"Thu. 20h";
26;"109";"عناوين و مواعيد";"الترام 3, 8 → Torgauer Platz";"Thu. 13h ,Fri. 21 h";
27;"Japanisches Haus";"عناوين و مواعيد";"الترام 3, 8 → Torgauer Platz";"Sat. 19h";
