"ID";"category";"subcategory";"name";"category original";"street";"zip";"city";"district";"arrival";"openinghours";"phone";"fax";"mail";"web";"facebook";"speakerprivate";"speakerpublic";"spokenlanguages";"description";"lat";"lon";"placename";"forchildren";"type";"subcat_afeefa";"category_afeefa"
1;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Bibliothek des Antifaschismus";"Bibliothek";"Zschochersche Str. 21";;"Leipzig";"Plagwitz";"Tram 3, 14, Bus 74 → Felsenkeller";"Di. 9.30—11.30 h , Do. 15—17 h";;;;;;;;;;"51.332986";"12.339234";;;0;;"Job+Education"
2;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Drugscouts";"Bibliothek";"Eutritzscherstr. 9";;"Leipzig";"Zentrum";"Tram 9, 10, 11, 16 → Wilhelm–Liebknecht–Platz";"Mo., Fr. 11—15 h , Di., Do. 13—17 h";;;;;;;;;"Präsensbibliothek mit Informationen zu Drogen und Suchtberatung.";"51.349114";"12.376048";;;0;;"Job+Education"
3;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Zentrale Stadtbibliothek Leipzig";"Bibliothek";"Wilhelm–Leuschner–Platz 10";;"Leipzig";"Zentrum";"Wilhelm–Leuschner–Platz → 2,8, 9 ,10, 11, 14";"Mo.—Fr. 10—19 h";;;;;;;;;"Zeitungen und französische, englische, russische, italienische und spanische Bücherregale.";"51.33416";"12.37497";;;0;;"Job+Education"
4;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Albertina Unibibliothek";"Bibliothek";"Beethovenstr. 6–Süd";;"Leipzig";"Zentrum-Süd";"Neues Rathaus → 2, 8, 9, 14";"Mo.—Sa. 8—24 h";;;;;;;;;"Zeitungen (englisch, französisch, russisch, ukrainisch, serbisch) lesen in Lesesaal West.";"51.33241";"12.36854";;;0;;"Job+Education"
5;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Bibliothek der Rosa–Luxemburg–Stiftung";"Bibliothek";"Harkortstr. 10 Süd";;"Leipzig";"Zentrum-Süd";"Tram 10, 11 → Hohe Straße";"Mo.—Do. 9—17.30 h , Fr. 9—12 h";;;;;;;;;"Präsensbibliothek mit Literatur zu gesellschaftspolitischen Themen sowie linker Politik und Geschichte.";"51.33173";"12.37101";;;0;;"Job+Education"
6;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"MONAliesA";"Bibliothek";"(Haus der Demokratie) Bernhard–Göring–Str. 152";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Di.—Do. 15—19 h";;;;;;;;;"Queer-feministische Bibliothek";"51.339696";"12.373075";;;0;;"Job+Education"
7;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Umweltbibliothek";"Bibliothek";"(Haus der Demokratie) Bernhard–Göring–Str. 152";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mo., Mi. 9—18 h , Di., Do. 13—18 h";;;;;;;;;;"51.339696";"12.373075";;;0;;"Job+Education"
8;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Eine Welt Bibliothek";"Bibliothek";"Bornaische Str. 1, Weltladen";;"Leipzig";"Connewitz";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mo.—Fr. 10—16 h";;;;;;;;;"Literatur zu Verschiedenen Themen, u.a. Globalisierung, Weltreligionen, Welthandel etc.";"51.339696";"12.373075";;;0;;"Job+Education"
9;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Conne Island";"Bibliothek";"Koburgerstr. 3";;"Leipzig";"Connewitz";"Tram 9 → Koburger Brücke";"Di.—Do. 17—20 h";;;;;;;;;"Infoladen und Bibliothek mit Material von und über soziale, linke und alternative Bewegungen.";"51.30239";"12.37458";;;0;;"Job+Education"
10;"d29bbe86-ecd6-42df-8054-70a90ec7b535";"library";"Bunte Büchothek";"Bibliothek";"(Bürgertreff Volkmarsdorf) Konradstr. 60 a";;"Leipzig";"Volkmarsdorf";"Tram 3, 8 → Torgauer Platz";"Mi., Fr. 5—18 h";"0341 / 6 88 89 40";;;;;;;;"1400 Kinder- und Jugendbücher in mehr als 40 Sprachen, kultureller Austausch, Sprachen lernen, Lesungen und mehr.";"51.344384";"12.409445";;;0;;"Job+Education"
