"ID";"name";"category";"arrival";"openinghours";"description"
1;"Library of Antifascism Bibliothek des Antifaschismus";"Libraries";"Tram 3, 14, Bus 74 → Felsenkeller";"Tue. 9.30 – 11.30 h
Thu. 15 – 17 h";
2;"Drugscouts";"Libraries";"Tram 9, 10, 11, 16 → Wilhelm–Liebknecht–Platz";"Mon., Fri. 11 – 15 h
Tue., Thu. 13 – 17 h";"library with information about drugs and addiction counseling"
3;"Central City Library         Zentrale Stadtbibliothek";"Libraries";"Tram 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";"Mon. – Fri. 10 – 19 h
1. Mon. of the month 13 – 15 h
4. Wed. of the month 16 – 18 h
Sat. 10 – 14 h";"newspapers and french, english, russian, italian and spanish sections"
4;"Albertina University Library";"Libraries";"Tram 2, 8, 9, 14 → Neues Rathaus";"Mon. – Sat. 8 – 24 h";"newspapers (English, French, Russian, Ukrainian, Serbian) in West reading room"
5;"Library of the Foundation
Rosa-Luxemburg-Stiftung";"Libraries";"Tram 10, 11 → Hohe Straße";"Mon. – Thu. 9 – 17.30 h
Fri. 9 – 12 h";"library with literature on social and political issues as well as left-wing politics and history"
6;"MONAliesA";"Libraries";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Tue. – Thu. 15 – 19 h";"queer-feminist library"
7;"Environmental Library Umweltbibliothek";"Libraries";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mon., Wed. 9 – 18 h
Tue., Thu. 13 – 18 h";
8;"Eine Welt Bibliothek";"Libraries";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Mon. – Fri. 10 – 16 h";"Literature on different themes, e.g. globalization, world religions, world trade, etc."
9;"Conne Island";"Libraries";"Tram 9 → Koburger Brücke";"Tue. – Thu. 17 – 20 h";"infoshop and library with material created by and about social, left and alternative movements"
10;"Bunte Büchothek";"Libraries";"Tram 3, 8 → Torgauer Platz";"Wed., Fri. 5 – 18 h";"1400 books for children and teenagers in more than 40 languages, cultural exchange, language learning,
lectures and more."
11;"Trailerpark?                Wagenplatz Karl Helga";"Cafés and Bar Evenings";"Tram 14 → Gießerstraße";"Mon. 20h";
12;"Plaque";"Cafés and Bar Evenings";"Tram 14 → Gießerstraße";"Thu. 20h";
13;"sublab";"Cafés and Bar Evenings";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Sat. 20h";
14;"Bäckerei";"Cafés
and Bar
Evenings";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Mon.19h";
15;"Hinz und Kunz";"Cafés
and Bar
Evenings";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Sat. 10h";
16;"Schwarz 10";"Cafés
and Bar
Evenings";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Thu. 20h , Sun. 10 h";
17;"Libelle";"Cafés
and Bar
Evenings";"Tram 1, 2, 8, 14 → Westplatz";"Sat. 20h";
18;"B12";"Cafés
and Bar
Evenings";"Tram 10, 11 → Südplatz";"Tue. 20h";
19;"Similde";"Cafés
and Bar
Evenings";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Tue. 20h , Thu. 20 h";
20;"Manfred";"Cafés
and Bar
Evenings";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Thu. 20h";
21;"Liwi";"Cafés
and Bar
Evenings";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Sun. 20h";
22;"Zoro";"Cafés
and Bar
Evenings";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Tue. 20h";
23;"2ek";"Cafés
and Bar
Evenings";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Sun. 15.30h";
24;"Atari";"Cafés
and Bar
Evenings";"Tram 4, Bus 70, 72, 73 → Breite Str.";"Mon. 20h";
25;"N.U.R.";"Cafés
and Bar
Evenings";"Tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"Thu. 20h";
26;"109";"Cafés
and Bar
Evenings";"Tram 3, 8 → Torgauer Platz";"Thu. 13h , Fri. 21 h";
27;"Japanisches Haus";"Cafés
and Bar
Evenings";"Tram 3, 8 → Torgauer Platz";"Sat. 19h";
28;"Community Garden Anna Linde";"Gardens";"Tram 3, 14, Bus 74 → Felsenkeller";"Fri. 16—19 h , Sat. 14—19 h";
29;"Neighborhood Gardens Nachbarschaftsgärten";"Gardens";"Tram 3, 14, Bus 74 → Felsenkeller";"Fri 14 — 19 h , on special occasions other dates
for garden users, members and other
groups can be set by appointment";
30;"Botanical Garden of the University of Leipzig";"Gardens";"Tram 12, 15, Bus 60 → Ostplatz";"Mon.—Fri. 10—16 h";"free admission, tickets required for special events and exhibitions"
31;"Querbeet";"Gardens";"Tram 1, 3, 8 → Einertstraße";"Tue. 9.30—14 h, 16—19 h ,Thu. 16—19 h, Sat. from 10 h";
32;"Bäckerei";"Protected Places";"Tram 8, 15 → Lützner-/ Merseburger Str.";"1. Mon. of the month:
food offered to women, lesbians,
inter- and transsexuals on donation.
Wed. 15 – 18 h:
café for and with refugee women
Wed. 20 h:
joseph _ ine: queer­feminist evening";
33;"Women for women?             Frauen für Frauen e.V. Leipzig";"Protected Places";"Tram 10, 11 → Südplatz";"1. and 3. Wed. of the month
13 – 17 h";"women’s counseling centre; dates by phone appointment"
