"ID";"name";"category";"arrival";"openinghours";"description"
1;"Biblioteca del antifascismo
Bibliothek des Antifaschismus";"Bibliotecas";"tranvía 3, 14, bus 74 → Felsenkeller";"martes 9.30—11.30 h, jueves 15—17 h";
2;"Drugscouts";"Bibliotecas";"tranvía 9, 10, 11, 16 → Wilhelm–Liebknecht–Platz";"lunes, viernes 11—15 h , martes, jueves 13—17 h";"Biblioteca de consulta con información
sobre drogas y asesoramiento para
Adicciones."
3;"Biblioteca central
Zentrale Stadtbibliothek Leipzig";"Bibliotecas";"tranvía 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";"lunes—viernes 10—19 h";"Periódicos y literatura en francés,
inglés, ruso, italiano y castellano."
4;"Biblioteca universitaria
Albertina Unibibliothek";"Bibliotecas";"tranvía 2, 8, 9, 14 → Neues Rathaus";"lunes—sábado 8—24 h";"Revistas/periódicos (inglés, Francés,
ruso, ucraniano, serbio) en el Lesesaal
West (sala de lectura Oeste)."
5;"Fundación Rosa–Luxemburg Stiftung";"Bibliotecas";"tranvía 10, 11 → Hohe Straße";"lunes—jueves 9—17.30 h , viernes 9—12 h";"Biblioteca abierta y de consulta con
literatura sobre temas sociopolíticos,
política de izquierdas e historia."
6;"MONAliesA";"Bibliotecas";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"martes—jueves 15—19 h";"Biblioteca queer-feminista"
7;"Umweltbibliothek";"Bibliotecas";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"lunes, miércoles 9—18 h , martes, jueves 13—18 h";
8;"Eine Welt Bibliothek";"Bibliotecas";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"lunes—viernes 10—16 h";"Literatura sobre diferentes temas como
globalización, religiones del mundo,
comercio mundial etc."
9;"Conne Island";"Bibliotecas";"tranvía 9 → Koburger Brücke";"martes—jueves 17—20 h";"Establecimiento informativo y bibliote-
ca con material de y sobre movimientos
sociales, de izquierdas y alternativas."
10;"Bunte Büchothek";"Bibliotecas";"tranvía 3, 8 → Torgauer Platz";"miércoles, viernes 5—18 h";"1400 libros para niñxs y adolescentes
en más de 40 idioman, intercambio
cultural, aprendozaje de idiomas,
lecturas etc."
11;"Wagenplatz Karl Helga";"Café y noches de bar";"tranvía 14 → Gießerstraße";"lunes 20h";
12;"Plaque";"Café y noches de bar";"tranvía 14 → Gießerstraße";"jueves 20h";
13;"sublab";"Café y noches de bar";"tranvía 14 → Karl-Heine–Str. / Merseburgerstr.";"sábado 20h";
14;"Bäckerei";"Café y noches de bar";"tranvía 8, 15 → Lützner-/ Merseburger Str.";"lunes19h";
15;"Hinz und Kunz";"Café y noches de bar";"tranvía 7 → G.–Schwarz- / Merseburger Str.";"sábado 10h";
16;"Schwarz 10";"Café y noches de bar";"tranvía 7 → G.–Schwarz- / Merseburger Str.";"jueves 20h , domingo 10 h";
17;"Libelle";"Café y noches de bar";"tranvía 1, 2, 8, 14 → Westplatz";"sábado 20h";
18;"B12";"Café y noches de bar";"tranvía 10, 11 → Südplatz";"martes 20h";
19;"Similde";"Café y noches de bar";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"martes 20h , jueves 20 h";
20;"Manfred";"Café y noches de bar";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"jueves 20h";
21;"Liwi";"Café y noches de bar";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"domingo 20h";
22;"Zoro";"Café y noches de bar";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"martes 20h";
23;"2ek";"Café y noches de bar";"tranvía 4, bus 70, 72, 73 → Breite Str.";"domingo 15.30h";
24;"Atari";"Café y noches de bar";"tranvía 4, bus 70, 72, 73 → Breite Str.";"lunes 20h";
25;"N.U.R.";"Café y noches de bar";"tranvía 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"jueves 20h";
26;"109";"Café y noches de bar";"tranvía 3, 8 → Torgauer Platz";"jueves 13h , viernes 21 h";
27;"Japanisches Haus";"Café y noches de bar";"tranvía 3, 8 → Torgauer Platz";"sábado 19h";
28;"Jardines colectivos
Anna Linde Gemeinschaftsgarten";"Jardines";"tranvía 3, 14, bus 74 → Felsenkeller";"viernes 16—19 h , sábado 14—19 h";
29;"Jardines de vecinxs
Nachbarschaftsgärten";"Jardines";"tranvía 3, 14, bus 74 → Felsenkeller";"viernes 14 — 19 h ,(hay posibilidad
de acordar otros horarios para
acontecimientos especiales para
usuarixs de los jardines u otros
Colectivos).";
30;"Jardín botánico de la universidad
Botanischer Garten der Universität
Leipzig";"Jardines";"tranvía 12, 15, bus 60 → Ostplatz";"lunes—viernes 10—16 h";"Entrada gratuita. Para acontecimientos
excepcionales y exposiciones se cobra
Entrada."
31;"Querbeet";"Jardines";"tranvía 1, 3, 8 → Einertstraße";"martes 9.30—14 h, 16—19 h ,jueves 16—19 h, sábado 10 h—abends";
32;"Bäckerei";"Espacios seguros";"tranvía 8, 15 → Lützner-/ Merseburger Str.";"Cada primer lunes de mes se hace una cena a cambio de donación voluntaria solo para mujeres, lesbianas, inter y
Transsexuales. miércoles 15—18 h Café für und mit Geflüchteten Frauen , miércoles 20 h joseph_ine: noche queer feminista";
33;"Frauen für Frauen e.V. Leipzig";"Espacios seguros";"tranvía 10, 11 → Südplatz";" 1. u. 3. miércoles del mes 13—17 h";"Frauenberatungsstelle (Termine nach telefonischer Vereinbarung)"
34;"Centro sociocultural de cultura de
mujeres
Soziokulturelles Zentrum Frauenkultur";"Espacios seguros";"tranvía 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";;"Apoyo a mujeres y chicas que hacen
trabajo artístico o cultural. Espacio de
comunicación social e integración.
Sobre todo para mujeres."
35;"RosaLinde e.V.";"Espacios seguros";"tranvía 4, 7 → Gerichtsweg";"lunes 14—18 h , asesoramiento: martes 12—18 h , miércoles 12—13 h sólo con cita previa, martes—sábado 19—22 h Cafè";"Lugar de información y asesoramiento
para lesbianas, gays, bi, trans, inter y
asexuales
(se ruega hacer cita o avisar previa-
Mente)"
36;"Mujeres internacionales
Internationale Frauen Leipzig e.V.";"Espacios seguros";"tranvía 3, 8 → Torgauer Platz";"lunes 13—15 h , miércoles, viernes 9—18 h asesoramiento";
37;"womens*space (109)";"Espacios seguros";"tranvía 1, 3, 8, bus 70 → H.–Liebmann– / Eisenbahnstr.";"domingo 15.30 h";"Ein geschützter Raum in für Frauen zum lachen, reden und gemeinsam Zeit zu verbringen. Kinder sind auch willkommen."
38;"Taller de bici de autoayuda
Radsfatz Fahrradselbsthilfe";"Espacios seguros";"tranvía 3, 8 → Torgauer Platz";" 1., 3. u. 5. miércoles del mes 15 -19 h";"Fahrradwerkstatt für FLIT*"
39;"G16";"Internet y Teléfono";"tranvía 14 → Gießerstraße";"lunes, jueves 15—20 h Infoladen";"Infoladen ( información )"
