"ID";"name";"category";"arrival";"openinghours";"description"
1;"Bibliothek des Antifaschismus / کتابخانه ضدّ نژادپرستی";"کتابخانه ها";" Felsenkeller ← 3 تراموای";" سه شنبه ساعت 9.30 – 11.30/  پنجشنبه ساعت 15 – 17";"کتابخانه ای با محور ضد مسأيل نژادپرستانه"
2;"Drugscouts";"کتابخانه ها";"Wilhelm–Liebknecht–Platz ← 16, 11, 10, 9 تراموای";"دوشنبه و جمعه ساعت 11 – 15/  سه شنبه و پنجشنبه ساعت 13 – 17";".مرکز مطالعه کتاب هایی با موضوعیت معتادی"
3;"Zentrale Stadtbibliothek Leipzig / کتابخانه مرکزیا لایپزیگ";"کتابخانه ها";"Wilhelm–Leuschner–Platz ← 14, 11, 10, 9, 8, 2 تراموای";"از دوشنبه تا جمعه ساعت 10 – 19 /   چهار شنبه ساعت 13 – 19/   روز شنبه ساعت 10– 16";"روزنامه ها و کتابهایی به زبان فرانسه،انگلیسی،روسی،ایتالیایی و اسپانیایی"
4;"Albertina Unibibliothek / کتابخانه دانشگاه آلبرتینا";"کتابخانه ها";" Neues Rathaus ← 14, 9, 8, 2 تراموای";"دوشنبه تا شنبه ساعت 8 – 24";"روزنامه (انگلیسی ، فرانسوی ،روسی، اکراینی و صربی) در قسمت غربی سالن"
5;"Bibliothek der Rosa–Luxemburg–Stiftung";"کتابخانه ها";" Hohe Straße ← 11, 10 تراموای";"دوشنبه-پنجشنبه ساعت 9 – 17.30/  جمعه ساعت 9 – 12";"کتابخانه ای با محور سیاست ، اشعار و تاریخ"
6;"MONAliesA";"کتابخانه ها";"Connewitzer Kreuz ← 11, 10, 9 تراموای";"سه شنبه -پنجشنبه ساعت 15 – 19";"کتابخانه ای با محور مسأيل زنان"
7;"Umweltbibliothek / کتابخانه ای با محور محیط زیست";"کتابخانه ها";"Connewitzer Kreuz ← 11, 10, 9 تراموای";"دوشنبه و چهارشنبه ساعت 9– 18 /  سه شنبه و پنجشنبه ساعت 13– 18";
8;"Eine Welt Bibliothek";"کتابخانه ها";"Connewitzer Kreuz ← 11, 10, 9 تراموای";"دوشنبه-جمعه ساعت 10 – 16";"کتابخانه ای با موضوعیت ادبیات ، ادیان ، تجارت"
9;"Conne Island";"کتابخانه ها";"Koburger Brücke  ←  9 تراموای";"سه شنبه-پنجشنبه ساعت 17 – 20";"مرکز مطالعه گروهای مختلف اجتماعی و چپی"
10;"Bunte Büchothek";"کتابخانه ها";" Torgauer Platz ← 8, 3 تراموای";"چهارشنبه و جمعه ساعت 5 – 18";"کتاب کودکان و جوانان در قالب 40 زبان و1400 فرهنگ مختلف برای یادگیری زبان و خواندن"
