"ID";"name";"category";"arrival";"openinghours";"description"
1;"Bibliothèque de l'Antifascisme
Bibliothek des Antifaschismus";"Bibliothèque";"tram 3, 14, bus 74 → Felsenkeller";"mar 9.30—11.30 h , jeu 15—17 h";
2;"Drugscouts";"Bibliothèque";"tram  9, 10, 11, 16 → Wilhelm–Liebknecht–Platz";"lun, ven 11—15 h , mar, jeu 13—17 h";"Consultation sur place, mise à disposition d'informations sur les thèmes de la drogue, la toxicomanie et des conseils contre la toxicomanie."
3;"Bibliothèque centrale municipale
Zentrale Stadtbibliothek Leipzig";"Bibliothèque";"tram 2,8, 9 ,10, 11, 14 → Wilhelm–Leuschner–Platz";"lun—ven 10—19 h, mer 13—19 h, sam 10-16 h";"Journaux et livres français, anglais, russes, italiens et espagnols."
4;"Bibliothèque universitaire
Albertina Unibibliothek";"Bibliothèque";"Neues Rathaus → 2, 8, 9, 14";"lun – ven 08 — 24 h";"Journaux ( anglais, français, russe, ukrainien, serbe ) dans la salle de lecture West."
5;"Fondation Rosa–Luxemburg–Stiftung";"Bibliothèque";"tram 10, 11 → Hohe Straße";"lun—jeu 9—17.30 h , ven 9—12 h";"Consultation sur place, littérature sur des thèmes socio-politiques ainsi qu'au sujet de la politique et de l'histoire."
6;"MONAliesA";"Bibliothèque";"tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"mar—jeu 15—19 h";"Bibliothèque féministe et queer."
7;"Umweltbibliothek";"Bibliothèque";"tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"lun, mer 9—18 h , mar, jeu 13—18 h";
8;"Eine Welt Bibliothèque";"Bibliothèque";"tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"lun—ven 10—16 h";"Littérature autour de différents sujets concernant le monde, tel que la globalisation, les religions du monde, les relations mondiales etc."
9;"Conne Island";"Bibliothèque";"tram 9 → Koburger Brücke";"mar—jeu 17—20 h";"Point d'information et bibliothèque où il est possible de se documenter sur des mouvements et collectifs sociaux, de gauche et d'opinion alternatif."
10;"Bunte Büchothek";"Bibliothèque";"tram 3, 8 → Torgauer Platz";"mer, ven 5—18 h";"1400 livres pour enfants et la jeunesse en plus que 40 langues, échange interculturel, apprentissage de langues, lectures et bien plus."
11;"Wagenplatz Karl Helga";"Cafés et bars";"tram 14 → Gießerstraße";"lun 20h";
12;"Plaque";"Cafés et bars";"tram 14 → Gießerstraße";"jeu 20h";
13;"sublab";"Cafés et bars";"tram 14 → Karl-Heine–Str. / Merseburgerstr.";"sam 20h";
14;"Bäckerei";"Cafés et bars";"tram 8, 15 → Lützner-/ Merseburger Str.";"lun19h";
15;"Hinz und Kunz";"Cafés et bars";"tram 7 → G.–Schwarz- / Merseburger Str.";"sam 10h";
16;"Schwarz 10";"Cafés et bars";"tram 7 → G.–Schwarz- / Merseburger Str.";"jeu 20h , dim 10 h";
17;"Libelle";"Cafés et bars";"tram 1, 2, 8, 14 → Westplatz";"sam 20h";
18;"B12";"Cafés et bars";"tram 10, 11 → Südplatz";"mar 20h";
19;"Similde";"Cafés et bars";"tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"mar 20h , jeu 20 h";
20;"Manfred";"Cafés et bars";"tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"jeu 20h";
21;"Liwi";"Cafés et bars";"tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"dim 20h";
22;"Zoro";"Cafés et bars";"tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"mar 20h";
23;"2ek";"Cafés et bars";"tram 4, bus 70, 72, 73 → Breite Str.";"dim 15.30h";
24;"Atari";"Cafés et bars";"tram 4, bus 70, 72, 73 → Breite Str.";"lun 20h";
25;"N.U.R.";"Cafés et bars";"tram 1, 3, 8, Bus 70 → H.–Liebmann– / Eisenbahnstr.";"jeu 20h";
26;"109";"Cafés et bars";"tram 3, 8 → Torgauer Platz";"jeu 13h , ven 21 h";
27;"Japanisches Haus";"Cafés et bars";"tram 3, 8 → Torgauer Platz";"sam 19h";
28;"Jardin communautaire
Anna Linde Gemeinschaftsgarten";"Jardins";"tram 3, 14, bus 74 → Felsenkeller";"ven 16—19 h , sam 14—19 h";
29;"Jardins communautaires
Nachbarschaftsgärten";"Jardins";"tram 3, 14, bus 74 → Felsenkeller";"ven 14 — 19 h ( Il est possible pour les jardiniers / jardinières et
autres groupes de venir à d'autres horaires après une demande au préalable ).";
30;"Jardin botanique de l'université
Botanischer Garten der Universität
Leipzig";"Jardins";"tram 12, 15, bus 60 → Ostplatz";"lun—ven 10—16 h";"Entrée libre. Prix d'entrée pour des événements spéciaux et expositions."
31;"Querbeet";"Jardins";"tram 1, 3, 8 → Einertstraße";"mar 9.30—14 h, 16—19 h ,jeu 16—19 h, sam 10 h— le soir";
32;"Casablanca / Bäckerei";"Lieux protégés";"tram 8, 15 → Lützner-/ Merseburger Str.";"Chaque premier lundi du mois il y a un repas en échange d'un don exclusivement pour femmes, lesbiens et personnes inter– et transsexuelles.";
33;"Femmes pour Femmes
Frauen für Frauen e.V. Leipzig";"Lieux protégés";"tram 10, 11 → Südplatz";" Chaque premier et troisième mercredi du mois 13—17 h";"Promotion des femmes et filles qui travaillent artistique. Lieu de la communication sociale et l'intégration, surtout pour les femmes."
34;"Centre socioculturel de la femmes culture
Soziokulturelles Zentrum Frauenkultur";"Lieux protégés";"tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";;"Parrainage d'activités artistiques des femmes et jeunes filles. Lieu de communication, d'échange et d'intégration, notamment pour femmes."
