"ID";"name";"category";"arrival";"openinghours";"description"
1;"Pirtûkxaneya Dijî-Faşiya
Bibliothek desAntifaschismus";"Pirtûkxane";"Tram 3,14, Bus 74 → Felsenkeller";"Sêş.9.30–11.30h
Pên.15–17h";
2;"Drugscouts";"Pirtûkxane";"Tram 9,10,11,16 → Wilhelm-Liebknecht-Platz";"Duş.,În.11–15h Sêş.,Pên.13–17h";"Pirtûkxaneli gelagahiyênli servexwarinakihûlêu idmanê."
3;"Pirtûkxaneya Nava Bajar Leipzig
Zentrale Stadtbibliothek";"Pirtûkxane";"Tram 2, 8, 9, 10, 11,14 → Wilhelm-Leuschner-Platz";"Duş.–În.10–19h
1. Duş. Di heyvêde13 –15h
4. Çarş. Di heyvêde16 –18h Şem.10–14h";"rojname, beşên:Ferensî, Inglîzî,
Rûsî, Îtalîû Ispanî."
4;"Pirtûkxaneya Zanîngeha Albertina";"Pirtûkxane";"Tram 2, 8, 9, 14 → Neues Rathaus";"Duş.–Şem.8–24h";"Rojnameyên(Ferensî, Inglîzî, Rûsî, Okranî, Serbî)
di odeyaxwendinêyarojavade"
5;"Pirtûkxaneya Bingehîna Rosa-Luxemburg-Stiftung";"Pirtûkxane";"Tram 10,11→ Hohe Straße";"Duş.–Pên.9–17.30h
În.9–12h";"iPirtûkxanebi mijarênwêjeû
Civakê, her wihaçengêçepêyênpolîtîkû dîrokêye.
"
6;"MONAliesA";"Pirtûkxane";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Sêş.–Pên.15–19h";"Queer ve feminist kütüphanesi"
7;"Umweltbibliothek";"Pirtûkxane";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Duş.,Çar.9–18h Sêş.,Pên.13–18h
";
8;"Eine Welt Bibliothek";"Pirtûkxane";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Duş.–În.10–16h";"Wêjeyababetêncuda, weke. gerdûn, olêncîhanê,
bazirganiyacîhanê, htd:"
9;"Conne Island";"Pirtûkxane";"Tram 9 → Koburger Brücke";"Sêş.–Pên.17–20h";"agahîû Pirtûkxanebi meteriyalênkuhatineçêkirinjiberû li sercivakê,
tevgerênçepû altirnatîv"
10;"Bunte Büchothek";"Pirtûkxane";"Tramv 3, 8 → Torgauer Platz";"Çar., În.5–18h";"1400 pirtûkjizarokû gencanredi behtirî40 zimanîde, veguhestinên
kultûrî, fêrkirinazimanû behtir"
11;"Wagenplatz Karl Helga";"Êvarên Qehwexaneyêû Barê";"Tram 14 → Gießerstraße";"Duş. 20h";
12;"Plaque";"Êvarên Qehwexaneyêû Barê";"Tram 14 → Gießerstraße";"Pên. 20h";
13;"sublab";"Êvarên Qehwexaneyêû Barê";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Şem. 20h";
14;"Bäckerei";"Êvarên Qehwexaneyêû Barê";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Duş.19h";
15;"Hinz und Kunz";"Êvarên Qehwexaneyêû Barê";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Şem. 10h";
16;"Schwarz 10";"Êvarên Qehwexaneyêû Barê";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Pên. 20h, Yek. 10 h";
17;"Libelle";"Êvarên Qehwexaneyêû Barê";"Tram 1, 2, 8, 14 → Westplatz";"Şem. 20h";
18;"B12";"Êvarên Qehwexaneyêû Barê";"Tram 10, 11 → Südplatz";"Sêş. 20h";
19;"Similde";"Êvarên Qehwexaneyêû Barê";"Tram 9, 10, 11, Bus 70, 89, 107 → Connewitzer Kreuz";"Sêş. 20 h, Pên. 20 h";
20;"Manfred";"Êvarên Qehwexaneyêû Barê";"Tram 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Pên. 20 h";
