"ID";"name";"category";"arrival";"openinghours";"description"
1;"Антифашистская библиотека";"Библиотеки";"Трамва́й 3, 14, Авто́бус 74 → Felsenkeller";"Вт 9.30—11.30 h , Чт 15—17 h";
2;"Drugscouts";"Библиотеки";"Трамва́й 9, 10, 11, 16 → Wilhelm–Liebknecht–Platz";"Пн, Пт 11—15 h , Вт, Чт 13—17 h";"Читальный зал с информацией про наркотики и консультации по зависимости"
3;"Центральная городская библиотека";"Библиотеки";"Трамва́й 2,8, 9 ,10, 11, 14  → Wilhelm–Leuschner–Platz";"Пн—Пт 10—19 h";"Газеты и книжные полки с литературой на английском, испанском, итальянском и русском языках"
4;"Albertina Университетская библиотека";"Библиотеки";"Трамва́й 2, 8, 9, 14 → Neues Rathaus";"Пн—Сб 8—24 h";"Газеты (на английском, русском, сербском, украинском, французском) находятся в западном читальном зале"
5;"Фонд Розы Люксембург";"Библиотеки";"Трамва́й 10, 11 → Hohe Straße";"Пн—Чт 9—17.30 h , Пт 9—12 h";"Читальный зал с литературой на общественно-политические темы, а также про левую политику и историю"
6;"MONAliesA";"Библиотеки";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Вт—Чт 15—19 h";"Квир-феминистическая библиотека"
7;"Экологическая библиотека";"Библиотеки";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Пн, Cр 9—18 h , Вт, Чт 13—18 h";
8;"Eine Welt Bibliothek";"Библиотеки";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Пн—Пт 10—16 h";"Литература на различные темы, напр., глобализация, мировые религии, мировая торговля и т.п."
9;"Conne Island";"Библиотеки";"Трамва́й 9 → Koburger Brücke";"Вт—Чт 17—20 h";"Инфопункт и библиотека с материалом про социалистические, левые и альтернативные движения"
10;"Bunte Büchothek";"Библиотеки";"Трамва́й 3, 8 → Torgauer Platz";"Cр, Пт 5—18 h";"1400 книг для детей и юношества на более, чем 40 языках, культурыный обмен, иностранные языки, чтения и многое другое"
11;"Wagenplatz Karl Helga";"Бар и кафе";"Трамва́й 14 → Gießerstraße";"Пн 20h";
12;"Plaque";"Бар и кафе";"Трамва́й 14 → Gießerstraße";"Чт 20h";
13;"sublab";"Бар и кафе";"Трамва́й 14 → Karl-Heine–Str. / Merseburgerstr.";"Сб 20h";
14;"Bäckerei";"Бар и кафе";"Трамва́й 8, 15 → Lützner-/ Merseburger Str.";"Пн19h";
15;"Hinz und Kunz";"Бар и кафе";"Трамва́й 7 → G.–Schwarz- / Merseburger Str.";"Сб 10h";
16;"Schwarz 10";"Бар и кафе";"Трамва́й 7 → G.–Schwarz- / Merseburger Str.";"Чт 20h , Вс 10 h";
17;"Libelle";"Бар и кафе";"Трамва́й 1, 2, 8, 14 → Westplatz";"Сб 20h";
18;"B12";"Бар и кафе";"Трамва́й 10, 11 → Südplatz";"Вт 20h";
19;"Similde";"Бар и кафе";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Вт 20h , Чт 20 h";
20;"Manfred";"Бар и кафе";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Чт 20h";
21;"Liwi";"Бар и кафе";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Вс 20h";
22;"Zoro";"Бар и кафе";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Вт 20h";
23;"2ek";"Бар и кафе";"Трамва́й 4, Авто́бус 70, 72, 73 → Breite Str.";"Вс 15.30h";
24;"Atari";"Бар и кафе";"Трамва́й 4, Авто́бус 70, 72, 73 → Breite Str.";"Пн 20h";
25;"N.U.R.";"Бар и кафе";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Чт 20h";
26;"109";"Бар и кафе";"Трамва́й 3, 8 → Torgauer Platz";"Чт 13h , Пт 21 h";
27;"Japanisches Haus";"Бар и кафе";"Трамва́й 3, 8 → Torgauer Platz";"Сб 19h";
28;"Anna Linde Товарищеский сад";"Сады и огороды";"Трамва́й 3, 14, Авто́бус 74 → Felsenkeller";"Пт 16—19 h , Сб 14—19 h";
29;"Соседские сады Nachbarschaftsgärten";"Сады и огороды";"Трамва́й 3, 14, Авто́бус 74 → Felsenkeller";"Пт 14 — 19 h (В особых случаях возможны и другие часы пользования для ассоциаций и других групп, по договоренности)";
30;"Ботанический сад Лейпцигского университета";"Сады и огороды";"Трамва́й 12, 15, Авто́бус 60 → Ostplatz";"Пн—Пт 10—16 h";"Вход свободный. Плата за временные выстави и специальные мероприятия"
31;"Querbeet";"Сады и огороды";"Трамва́й 1, 3, 8 → Einertstraße";"Вт 9.30—14 h, Чт 16 — 19 h, Сб 10 h — до вечера";
32;"Bäckerei";"Защищенные пространства";"Трамва́й 8, 15 → Lützner-/ Merseburger Str.";"Cр 20 h joseph_ine: квир-феминистический вечер";"Каждый первый понедельник месяца ужин на основе пожертвования только для женщин, лесби, интер- и транссексуалов"
33;"Женщины для женщин Лейпциг Frauen für Frauen e.V. Leipzig";"Защищенные пространства";"Трамва́й 10, 11 → Südplatz";" 1. u. 3. Cр im Monat 13—17 h";"Консультации для женщин (прием по телефонной договоренности)"
34;"Социокультурный центр женская культура Soziokulturelles Zentrum Frauenkultur";"Защищенные пространства";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";;"Поддержка женщин и девочек, работающих в сфере искусства. Общение и интеграция, особенно для женщин"
35;"RosaLinde e.V.";"Защищенные пространства";"Трамва́й 4, 7 → Gerichtsweg";"Пн 14 — 18 h Часы приема, Вт 12 — 18 h Часы приема, Cр 12 — 13 h только по договоренности, Вт — Сб 19 — 22 h Кафе";"Информационное и консультационное бюро для лесбиянок, геев, би-, транс-, интер-и асексуалов (желательна предварительная договоренность)"
36;"Международные женщины Лейпциг Internationale Frauen Leipzig e.V.";"Защищенные пространства";"Трамва́й 3, 8 → Torgauer Platz";"Пн 13—15 h , Cр, Пт 9—18 h Beratung";
37;"womens*space (109)";"Защищенные пространства";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Вс 15.30 h";"Ein geschützter Raum in für Frauen zum lachen, reden und gemeinsam Zeit zu verbringen. Kinder sind auch willkommen."
38;"Radsfatz Fahrradselbsthilfe";"Защищенные пространства";"Трамва́й 3, 8 → Torgauer Platz";" 1., 3. u. 5. Cр im Monat 15 -19 h";"Fahrradwerkstatt für FLIT*"
39;"G16";"Интернет и Tелефо́н";"Трамва́й 14 → Gießerstraße";"Пн, Чт 15—20 h Информационное бюро";"Информационное бюро"
40;"Die Villa – Soziokulturelles Zentrum";"Интернет и Tелефо́н";"Трамва́й 3, 4, 7, 15 → Leibnizstr. oder Трамва́й 1, 14 → Gottschedstr.";"Пн—Пт 14—19 h";"Freie Computernutzung"
41;"Libelle";"Интернет и Tелефо́н";"Трамва́й 1, 2, 8, 14 → Westplatz";"Чт 15—18 h";"Computernutzung"
42;"B12";"Интернет и Tелефо́н";"Трамва́й 10, 11 → Südplatz";"ежедневно с 10 h";"Freie Computernutzung"
43;"Conne Island";"Интернет и Tелефо́н";"Трамва́й 9 → Koburger Brücke";"Вт—Чт 17—20 h";"Информационное бюро"
44;"LinXXnet";"Интернет и Tелефо́н";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Пн — Пт 10 — 18.30 h Internet";
45;"109";"Интернет и Tелефо́н";"Трамва́й 3, 8 → Torgauer Platz";"Чт 11—15 h";"Интернет, печать, сканирование, копирование"
46;"Вагонный поселок RhizomiA";"Интернет и Tелефо́н";"Трамва́й 3, 8 → Torgauer Platz";"Вс 14 h";"Информационный вагон"
47;"Caritasladen мебельная служба";"Одежда и вещи";"Трамва́й 8, 15 → Grünauer Allee";"Пн 12—17 h , Вт—Пт 10—17 h";"Одежда, игрушки, школьные принадлежности и мебель"
48;"Дом престарелых, самопомощь Seniorenhaus Selbsthilfe Plagwitz e.V.";"Одежда и вещи";"Трамва́й 3, 14, Авто́бус 74 → Felsenkeller";"Cр, Пт 10—17 h";"Одежда и утварь"
49;"Благотворительность Advent Wohlfahrtswerk e.V.";"Одежда и вещи";"Трамва́й 14 → Nonnenstr.";" 1. u. 3. Cр im Monat 13—17 h";"Одежда, бесплатно: нижнее белье, вещи для младенцев и маленьких детей"
50;"Немецкий Красный Крест Deutsches Rotes Kreuz";"Одежда и вещи";"Трамва́й 3, 14, Авто́бус 74 → Felsenkeller";"Пн, Вт, Чт 10—12 h , Cр 13—17 h , Пт 10—12 h";"Всевозможная одежда, мебель"
51;"Diakonie Passgenau";"Одежда и вещи";"Трамва́й 10, 11 → Dantestraße";"Вт—Пт 11—18 h";"Одежда, утварь, игрушки"
52;"Diakonie Leipziger Oase";"Одежда и вещи";"Трамва́й 4, 7, 12, 15, Авто́бус 690 → Johannisplatz";"Cр, Пт 10—14 h";"Одежда, утварь, игрушки"
53;"Немецкий Красный Крест Deutsches Rotes Kreuz";"Одежда и вещи";"Трамва́й 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Пн 8—12 h, 13—17 h ,  Вт 14—18 h , Cр 9—12 h, 14—17 h";"Всевозможная одежда, утварь"
54;"Con Han Hop";"Одежда и вещи";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Пт 15 h";
55;"N.U.R.";"Одежда и вещи";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Чт 19 h";
56;"Гражданская ассоциация Bürgerverein Schönefeld";"Одежда и вещи";"Трамва́й 1 → Stöckelstraße";"Пн—Чт 9—12 h, 14—17 h, Пт 9—12 h";"Одежда, вещи для младенцев, игрушки, школьные принадлежности, книги"
57;"Анонимные алкоголики Anonyme Alkoholiker";"Медицинская и психологическая помощь";;;"Встречи анонимных алкоголиков проходят каждый день, кроме воскресенья, в разных районах города. Список адресов и часов приема ты найдешь на этой Интернет- страничке:"
58;"Немецкий Красный Крест Deutsches Rotes Kreuz";"Медицинская и психологическая помощь";"Трамва́й 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Пн, Чт 9—14 h";"Семейные консультации и консультации для беременных"
59;"Medinetz Leipzig";"Медицинская и психологическая помощь";"Трамва́й 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Вт 16 — 18 h Часы приема";"Посредничество и консультации негосударственные, бесплатные и анонимные. Об еженедельных консультациях договариваются с врачами, которые дали согласие на обслуживание по низким ценам и конфиденциально."
60;"Haus Steinstraße e.V.";"Медицинская и психологическая помощь";"Трамва́й 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";;"Психологические консультации Часы работы по договоренности"
61;"Aids Hilfe Leipzig";"Медицинская и психологическая помощь";"Трамва́й 1 → Ossietzky- / Gorkistraße";"Вт, Чт 15—21 h ,  1. Пн im Monat 13—15 h,  4. Cр im Monat 16—18 h";"Консультации и поддержка больных и инфецированных СПИДом, а также другими болезнями, передающиеся половым путем"
62;"Conne Island";"Музыка";"Трамва́й 9 → Koburger Brücke";;"Беженцы могут ходить сюда на концерты, спектакли, чтения и т.п."
63;"Müzik–Stüdyo.74";"Музыка";"Трамва́й 3 → Volksgarten";;"Здесь можно встретить людей, чтобы вместе играть на музыкальных инструменах, умея и не умея. Есть репетиционные точки, студия, оборудование и инструменты. Музыканты, находящиеся там, могут помочь."
64;"Salve";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 8, 15 → Lützner-/ Merseburger Str.";"Пн—Пт 9.30—17 h";"Контактное и консультационное бюро для мигрантов на Лейпцигском Западе. Поддержка в коммуникции с инстанциями и по вопросам, касающимся жилья и образования"
65;"Caritashaus Leipzig";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 1, 2, 8, 14 → Westplatz";"Пн 14 — 17 h , Пт 9 — 12 h";
66;"RefugeeLawClinic";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;"Rechtsberatung von geflüchteten Menschen"
67;"Немецкий Красный Крест Deutsches Rotes Kreuz";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 10, 11 → K.–Liebknecht–Str. / K.–Eisnerstr.";"Вт 12—14 h , Чт 9 — 11 h";"Консультации по миграционным вопросам"
68;"Haus Steinstraße e.V.";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 9, 10, 11 → HTWK";"Часы работы по договоренности";"Правовые консультации; по договоренности"
69;"LinXXnet";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Cр 10—16 h";"Консультации в вопросах социального обеспечения"
70;"2ek";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 4 → Breite Straße";"2-й и 4-й четверг месяца 16 — 18 h";"Консультации по социальному обеспечению"
71;"Atari";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 4 → Breite Straße";"Вс 15 h";
72;"Bürgertreff Volkmarsdorf";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 3, 8 → Torgauer Platz";"Пн 13 — 15 h, Cр — Пт 9 — 18 h, Правовые консультации: 1-й Пн месяца 13 — 15 h, 4-я Cр месяца 16 — 18 h";"Межкультурные консультации на разных языках (немецкий, русский, арабский, курдский, испанский, турецкий, вьетнамский)"
73;"Инфоавтобус - Infobus";"Правовые консультации и консультации по социальной поддержке";"Трамва́й 3 → Arcus Park.";"Cр 17 h";"Мобильные правовые консультации"
74;"Исламский центр Al–Sahra";"Духовные и религозные пространства";"Трамва́й 3, 7, 8, 15, Авто́бус 74, 130, 131 → Angerbrücke";"Джума-намаз: летом в 14:00 / зимой в 13:00";
75;"Синагога и центр встреч Лейпциг";"Духовные и религозные пространства";"Трамва́й 4, 7, 12, 15, Авто́бус 690 → Johannisplatz";;
76;"Евангелическо-лютеранская община Святой Троицы в Лейпциге";"Духовные и религозные пространства";"Трамва́й 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";;
77;"Leipzig English Church";"Духовные и религозные пространства";"Трамва́й 10, 11, Авто́бус 60, 74 → K.–Liebknecht- / K.–Eisner–Str.";"Вс 10.30 h, 18.30 h";"Община церкви св. Андрея"
78;"Русский храм-памятник в Лейпциге";"Духовные и религозные пространства";"Трамва́й 2, 16, Авто́бус 74 → Deutsche Nationalbibliothek";"Вс 10 h";
79;"Украинская греческо-католическая церковь";"Духовные и религозные пространства";"Трамва́й 4, Авто́бус 70, S–Bahn 1, 3 → Ribeck– / Stötteritzerstr.";"Вс 14 h";"(римско-католическая церковная община Св. Лаврентия)"
80;"Евангелическая корейская община";"Духовные и религозные пространства";"Трамва́й 1, 3, 8 → Einertstraße";"Вс 11 h";
81;"Лейпцигский центр исламской культуры и исследований";"Духовные и религозные пространства";"Трамва́й 1, 3, 8 → Einertstraße";"Джума-намаз на турецком языке: летом в 14:00 / зимой в 13:00";"Takva мечеть"
82;"Ahmadiyya Мусульманская община";"Духовные и религозные пространства";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Джума-намаз: летом в 14:00 / зимой в 13:00";
83;"ьетнамско-буддистская община в Лейпциге и области";"Духовные и религозные пространства";"Трамва́й 3 → Bautznerstr.";"Вс 10—16 h";
84;"Gurdwara Gurmat Parchar e.V.";"Духовные и религозные пространства";"Трамва́й 7, 8, Авто́бус 90 → Barbarastr.";"8—20 h täglich";
85;"Salve";"Язык";"Трамва́й 8, 15 → Lützner-/ Merseburger Str.";;"(Vermittlung von ÜbersetzterInnen)"
86;"Salve";"Язык";"Трамва́й 8, 15 → Lützner-/ Merseburger Str.";"Пн, Cр 10.30 — 12 h Начинающие, Вт, Чт 13.30 —15 h Продолжающие";"(Sprachkurse)"
87;"Die VILLA – Социокультурный центр";"Язык";"Трамва́й 3, 4, 7, 15 → Leibnizstr. oder Трамва́й 1, 14 → Gottschedstr.";"Вт 20 h Soirée Polyglotte";"Языковые тандемы: языковая биржа в Интернете см. SprachtandemLeipzig.de Еженедельно в Café Neulichts в подвале виллы Soiree Polyglotte – открытое место встречи различных языков. Посетители встречаются в ненапряженной атмосфере. За каждым из столов говор"
88;"Caritashaus Leipzig";"Язык";"Трамва́й 1, 2, 8, 14 → Westplatz";"Вт 13.30 — 15 h Продолжающие, Чт 13.30 — 15 h разговорный курс";
89;"Лейпцигский университет языковые тандемы";"Язык";"Трамва́й 4, 7, 8, 10, 11, 12, 14, 15, 16 → Augustusplatz";"Часы работы Пн 14 — 16 h, Чт 9 — 11 h";"Не только для студентов! Помощь в поиске языковых партнеров для взаимного самообучения."
90;"Совет беженцев - Flüchtlingsrat e.V.";"Язык";"Трамва́й 1, 2, 8, 14 → Westplatz";"Пн 11 — 12.30 h Начинающие, Чт 15 — 16.30 h Начинающие, Чт 13 — 15 h Продолжающие";"В случае необходимости возможна организация индивидуального обучения."
91;"Общество взаимопонимания между народами Gesellschaft für Völkerverständigung";"Язык";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Cр 15—17 h";"Языковой курс для начинающих, чтобы решать вопросы первой необходимости в быту (8 евро в месяц за материалы)"
92;"Немецко-Российский Центр Саксонии";"Язык";"Трамва́й 9, 10, 11, Авто́бус 70, 89, 107 → Connewitzer Kreuz";"Пн, Cр 9 — 12 h Начинающие, Вт, Чт 12 — 15 h Продолжающи";
93;"2ek";"Язык";"Трамва́й 4 → Breite Straße";"Вс 14—15.30 h";"Deutschkurs"
94;"ABC школа";"Язык";"Трамва́й 1, 3, 8 → Einertstraße";;"Алафабетизация, немецкий для аналфабетов или иначе алфабетизированных взрослых (1 евро в час)"
95;"Инфоавтобус - Infobus";"Язык";;;
96;"Детский, подростковый и семейный центр Грюнау – Caritasverband Leipzig e.V.";"Точки встречи детей и молодежи";"Трамва́й 1 → Krakauerstr.";"Пн—Пт 10—12 h";"Проведение досуга и консультации для детей, подростков и семей. Встречи и кафе. Креативные воркшопы и культурные кружки."
97;"Молодежная миграционная служба";"Точки встречи детей и молодежи";"Трамва́й 16 → Mosenthinstraße";;"Предложения, проекты и поддержка в интеграции для иммигрировавших детей, подростков и молодежи таких сферах, как школа, образование, профессия, музыка, спорт и Интернет"
98;"Die Villa – Социокультурный центр";"Точки встречи детей и молодежи";"Трамва́й 3, 4, 7, 15 → Leibnizstr. oder Трамва́й 1, 14 → Gottschedstr.";"Пн, Пт 14 — 19 h Свободное пользование компьютером, скалодром (для детей от 9 лет),
Пн 17 — 18 h Хатха Йога, Cр 16.30 — 18.30 h Цирк (для детей от 6 до 14 лет), Cр 17 — 19 h Западно-африканский танец (от 16 лет), Cр ab 19 h Lets Play: настольный футбол и ";
99;"Место встречи Mühlstraße e.V.";"Точки встречи детей и молодежи";"Трамва́й 12, 15 → Witzgallstr. oder Трамва́й 4, Авто́бус 60, 70 → Riebeck– / Oststraße";;"Креативные и социальные мероприятия для всех возрастных групп: напр. Мать-и-дитя группы, семейные полдники, межкультурная кухня, курсы клоунады и ударных инструментов"
100;"2ek";"Точки встречи детей и молодежи";"Трамва́й 4, Авто́бус 70, 72, 73 → Breite Str.";"Открытая среда: рисование, музыка, творчество. Также есть столы для настольного тенниса и футбола (и для взрослых) Cр 16 — 19 h Уроки рисования: каждую неделю
изучается новая техника в рисовании. Материалы за пожертвование.(Также для взрослых) Чт 18.30 h ";
101;"OFT Rabet";"Точки встречи детей и молодежи";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";;"(Открытое место встречи в районном парке, яркий фасад) Кик-боксинг, брейк данс, „Готовим по вторникам“ QClub и многое другое"
102;"Naomi e.V.";"Точки встречи детей и молодежи";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Вт, Cр, Чт 13 — 17 h Компьютерная комната";"Семинары – курсы – креативная мастерская"
103;"MiO – Встреча девочек на Востоке";"Точки встречи детей и молодежи";"Трамва́й 1, 3, 8, Авто́бус 70 → H.–Liebmann– / Eisenbahnstr.";"Cр 15—18 h";"Межкультурные – развлечения – другие встречи – быть креативным и поддержка в решении домашних заданий"
104;"G16 Велосипедная мастерская взаимопомощи";"Мастерские";"Трамва́й 14 → Gießerstraße";"Чт 18 h";
105;"sublab";"Мастерские";"Трамва́й 14 → Karl-Heine–Str. / Merseburgerstr.";"Чт 18 h";
106;"Велосипедная мастерская и мастерская по дереву";"Мастерские";"Трамва́й 8, 15 → Lützner-/ Merseburger Str.";"Вт 18—20 h";
107;"Café Kaputt";"Мастерские";"Трамва́й 7 → G.–Schwarz- / Merseburger Str.";"Домашний ремонт, утварь, мебель, игрушки, инструменты, керамика: Вт 16 — 18 h, Техника и электронные приборы: Cр 16 — 18 h, Одежда, ткани, обувь: Чт 16 — 18 h";"Домашний ремонт, утварь, мебель, игрушки, инструменты, керамика"
108;"2ek";"Мастерские";"Трамва́й 4 → Breite Straße";"Cр 16—18 h";"Nähwerkstatt"
109;"Wu";"Мастерские";"Трамва́й 4, 7, Авто́бус 72, 73 → Reudnitz,Koehlerstr.";"Пн 17 h 1. Вт im Monat ab 15 h Offene Textilwerkstatt";"Repaircafé"
110;"109";"Мастерские";"Трамва́й 3, 8 → Torgauer Platz";"Пн 13 h";"Keramikwerkstatt"
111;"Radsfatz Велосипедная взаимопомощь";"Мастерские";"Трамва́й 3, 8 → Torgauer Platz";"Вт 14—18 h , Чт 12—18 h , 2. u. 4. Cр im Monat 15—19 h";
112;"Вагонный поселок RhizomiA";"Мастерские";"Трамва́й 3, 8 → Torgauer Platz";"3. Вт im Monat 15 h";"Открытая текстильная мастерская"
113;"Volkspark / Küchenholz";"Природа";"Трамва́й 3 → Schwartzestraße oder Авто́бус 60 → Rödelstraße";;
114;"Markkleeberger See";"Природа";"Трамва́й 11 → Schillerplatz";;
115;"Cospudener See";"Природа";"Трамва́й 9 → Roßplatz oder Авто́бус 65 → Cospudener-See, Nordstrand";;
