"ID";"name";"arrival";"openinghours";"description";"category"
1;"Librari Antifashiste - Bibliothek des Antifaschismus";"Tram 3, 14, bus 74 → Felsenkeller";"Marte 9.30—11.30 h , Enjte 15—17 h";;"Librari"
2;"Drugscouts";"Tram 9, 10, 11, 16 → Wilhelm–Liebknecht–Platz";"Hene, Premte 11—15 h , Marte, Enjte 13—17 h";"Librari me informacion mbi drogat dhe keshillime mbi vartesine";"Librari"
3;"Libraria Qendrore e Qytetit - Zentrale Stadtbibliothek Leipzig";"Wilhelm–Leuschner–Platz → 2,8, 9 ,10, 11, 14";"Hene—Premte 10—19 h";"Newspapers Gazeta dhe seksjone ne gjuhen Frenge, Anglisht, Rusisht, Italisht, dhe Spanjisht.";"Librari"
4;"Libraria Universitare - Albertina Unibibliothek";"Neues Rathaus → 2, 8, 9, 14";"Hene—Shtune 8—24 h";"Gazeta (Anglsiht, Frengjisht, Rusisht, Ukrainisht, Serbisht) ne dhomen perendimore eshte salla e leximit.";"Librari"
5;"Fondacion Rosa–Luxemburg–Stiftung";"Tram 10, 11 → Hohe Straße";"Hene—Enjte 9—17.30 h , Premte 9—12 h";"Librari me literature ne ceshtje politikosociale, politike majtiste, dhe histori.";"Librari"
6;"MONAliesA";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Marte—Enjte 15—19 h";"librari feministe";"Librari"
7;"Librari Ambjentaliste mjedisi - Umweltbibliothek";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Hene, Merkure 9—18 h , Marte, Enjte 13—18 h";;"Librari"
8;"Librari Nji Bot - Eine Welt Bibliothek";"Tram 9, 10, 11, bus 70, 89, 107 → Connewitzer Kreuz";"Hene—Premte 10—16 h";"Literature me tema te ndryshme, p.sh globalizimi, fete boterore, bizneset boterore, etj.";"Librari"
9;"Conne Island";"Tram 9 → Koburger Brücke";"Marte—Enjte 17—20 h";"Infoshop dhe librari me materiale te krijuara mbi levizjet majtiste, sociale dhe alternative.";"Librari"
10;"Bunte Büchothek";"Tram 3, 8 → Torgauer Platz";"Merkure, Premte 5—18 h";"1400 libra per femije dhe te rinj ne me shume se 40 gjuhe, shkembime kulturore, mesime gjuhesh, leksione etj.";"Librari"
11;"Vend makinash banimi „Karl Helga“";"Tram 14 → Gießerstraße";"Hene 20h";;"Kafene dhe Bare mbremjesh"
12;"Plaque";"Tram 14 → Gießerstraße";"Enjte 20h";;"Kafene dhe Bare mbremjesh"
13;"sublab";"Tram 14 → Karl-Heine–Str. / Merseburgerstr.";"Shtune 20h";;"Kafene dhe Bare mbremjesh"
14;"Bäckerei";"Tram 8, 15 → Lützner-/ Merseburger Str.";"Hene19h";;"Kafene dhe Bare mbremjesh"
15;"Hinz und Kunz";"Tram 7 → G.–Schwarz- / Merseburger Str.";"Shtune 10h";;"Kafene dhe Bare mbremjesh"
