"ID";"name";"category";"arrival";"openinghours";"description"
1;"Bibliothek des Antifaschismus";"Kütüphaneler";"Tramvay 3, 14, Otobüs 74 → Felsenkeller";"Salı 9.30 — 11.30 h
Persembe 15 — 17 h";
2;"Drugscouts";"Kütüphaneler";"Tramvay 9, 10, 11, 16 → Wilhelm-Liebknecht-Platz";"Pazartesi, Cuma 11 — 15 h
Salı, Persembe 13 — 17 h";"Uyușturucu ve bağımlılık danıșmanlığı hakkında bilgiler bulabileceğin sunum kütüphanesi."
3;"Zentrale Stadtbibliothek Leipzig";"Kütüphaneler";"Tramvay 2, 8, 9, 10, 11, 14 → Wilhelm–Leuschner–Platz";"Pazartesi — Cuma 10 — 19 h
Çarșamba 13 — 19 h
Cumartesi 10 — 14 h";"Gazeteler ve Fransızca, İngilizce, Rusça, İtalyanca ve İspanyolca kitaplar."
4;"Albertina Unibibliothek";"Kütüphaneler";"Tramvay 2, 8, 9, 14 → Neues Rathaus";"Pazartesi — Cumartesi 8 — 24 h";"Gazeteler (İngilizce, Fransızca, Rusça, Ukraynalı, Sırpça)"
5;"Bibliothek der Rosa–Luxemburg–Stiftung";"Kütüphaneler";"^^^^";"Pazartesi — Persembe 9 — 17.30 h
Cuma 9 — 12 h";"Sunum Kütüphanesi; sosyal ve politik konular hakkında literatür ve yani sıra sol siyaset ve tarihi hakkında kitaplar bulabi-
Lirsin."
6;"MONAliesA";"Kütüphaneler";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Salı — Persembe 15 — 19 h";"Queer ve feminist kütüphanesi"
7;"Umweltbibliothek";"Kütüphaneler";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Pazartesi, Çarșamba 9 — 18 h
Salı, Persembe 13 — 18 h";
8;"Eine Welt Bibliothek";"Kütüphaneler";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Pazartesi — Fr 10 — 16 h";"Farklı konular hakkında kitaplar bulunduran kütüphane (Küreselleșme, dünya dinleri vs.)"
9;"Conne Island";"Kütüphaneler";"Tramvay 9 → Koburger Brücke";"Salı — Persembe 17 — 20 h";"Infoshop, sosyal ve sol alternatif hareketleri hakkında kütüphane."
10;"Bunte Büchothek";"Kütüphaneler";"Tramvay 3, 8 → Torgauer Platz";"Çarșamba, Cuma 5 — 18 h";"1400 farklı dillerde Çocuk ve gençlik kitaplar ve kültürel etkinlikler, tartıșmalar, bulușmalar."
11;"Wagenplatz Karl Helga";"Cafe ve bar";"Tramvay 14 → Gießerstraße";"Pazartesi. 20h";
12;"Plaque";"Cafe ve bar";"Tramvay 14 → Gießerstraße";"Persembe 20h";
13;"sublab";"Cafe ve bar";"Tramvay 14 → Karl-Heine–Str. / Merseburgerstr.";"Cumartesi 20h";
14;"Bäckerei";"Cafe ve bar";"Tramvay 8, 15 → Lützner-/ Merseburger Str.";"Pazartesi.19h";
15;"Hinz und Kunz";"Cafe ve bar";"Tramvay 7 → G.–Schwarz- / Merseburger Str.";"Cumartesi 10h";
16;"Schwarz 10";"Cafe ve bar";"Tramvay 7 → G.–Schwarz- / Merseburger Str.";"Persembe 20h , Pazar 10 h";
17;"Libelle";"Cafe ve bar";"Tramvay 1, 2, 8, 14 → Westplatz";"Cumartesi 20h";
18;"B12";"Cafe ve bar";"Tramvay 10, 11 → Südplatz";"Salı 20h";
19;"Similde";"Cafe ve bar";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Salı 20h , Persembe 20 h";
20;"Manfred";"Cafe ve bar";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Persembe 20h";
21;"Liwi";"Cafe ve bar";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Pazar 20h";
22;"Zoro";"Cafe ve bar";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";"Salı 20h";
23;"2ek";"Cafe ve bar";"Tramvay 4, Otobüs 70, 72, 73 → Breite Str.";"Pazar 15.30h";
24;"Atari";"Cafe ve bar";"Tramvay 4, Otobüs 70, 72, 73 → Breite Str.";"Pazartesi 20h";
25;"N.U.R.";"Cafe ve bar";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Persembe 20h";
26;"109";"Cafe ve bar";"Tramvay 3, 8 → Torgauer Platz";"Persembe 13h ,Cuma 21 h";
27;"Japanisches Haus";"Cafe ve bar";"Tramvay 3, 8 → Torgauer Platz";"Cumartesi 19h";
28;"Anna Linde Gemeinschaftsgarten";"Bahçeler";"Tramvay 3, 14, Otobüs 74 → Felsenkeller";"Cuma 16 — 19 h
Cumartesi 14 — 19 h";
29;"Nachbarschaftsgärten Komsuluk Bahceleri";"Bahçeler";"Tramvay 3, 14, Otobüs 74 → Felsenkeller";"Cuma 14 — 19 h (Eğer bahçelerimizi
bașka günlerde kullanmak istiyorsanız
lütfen yetkililerle konusun ve etkinli
klerinizi burada düzenleyin.)";
30;"Botanischer Garten der Universität Leipzig";"Bahçeler";"Tramvay 12, 15, Otobüs 60 → Ostplatz";"Pazartesi —Cuma 10—16 h";"Giriș ücretsiz, özel etkinliklerde ve sergilerde ücretli"
31;"Querbeet";"Bahçeler";"Tramvay 1, 3, 8 → Einertstraße";"Salı 9.30 — 14 h, 16 — 19 h
Persembe 16 — 19 h (im Heft Teil nicht übersetzt)";
32;"Bäckerei";"Korunan alanlar";"Tramvay 8, 15 → Lützner-/ Merseburger Str.";"Çarșamba 20 h
queer-feminist gecesi (teil fehlt im Heft)";
33;"Frauen für Frauen e.V. Leipzig";"Korunan alanlar";"Tramvay 10, 11 → Südplatz";"birinci ve üçüncü Çarșamba 13—17 h";"Kadınlar için danıșmanlık (randevulu çalıșıyorlar, lütfen arayın)"
34;"Soziokulturelles Zentrum Frauenkultur";"Korunan alanlar";"Tramvay 9, 10, 11, Otobüs 70, 89, 107 → Connewitzer Kreuz";;"Sanatsal çalıșan kadınlar ve kızlar için destek. Sohbet ve sosyal yardim yansıra da entegrasyon için danıșmanlık, özellikle kadınlar için."
35;"RosaLinde e.V.";"Korunan alanlar";"Tramvay 4, 7 → Gerichtsweg";"Pazartesi 14 — 18 h Görüșme saatleri
Salı 12 — 18 h Görüșme saatleri
Mi 12 — 13 h Randevulu
Salı — Cumartesi 19 — 22 h Café";"Lezbiyen, Gay, Bi, Trans, Inter ve aseksüel kișiler için bilgi ve destek derneği
(randevulu çalıșıyorlar, lütfen arayın)"
36;"Internationale Frauen Leipzig e.V.";"Korunan alanlar";"Tramvay 3, 8 → Torgauer Platz";"Danıșmanlık:
Pazartesi 13 — 15 h
Çarșamba, Cuma 9 — 18 h";
37;"womens*space (109)";"Korunan alanlar";"Tramvay 1, 3, 8, Otobüs 70 → H.–Liebmann– / Eisenbahnstr.";"Pazar 15.30 h";"Ein geschützter Raum für Frauen zum lachen, reden und gemeinsam Zeit verbringen. Kinder sind auch willkommen."
38;"Radsfatz Fahrradselbsthilfe Bisiklet tamiri";"Korunan alanlar";"Tramvay 3, 8 → Torgauer Platz";"Salı 14 — 18 h
Her ayin 2. Ve 4. Çarșambası
15 — 19 h
Persembe 12 — 18 h";"Fahrradwerkstatt für FLIT*"
