"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden ","Montag 10-13 und 13-16; Dienstag 13-17; Mittwoch 14-17; Freitag 10-13","(0351) 492 33 67, (0351) 492 33 62","(0351) 492 33 60","cabana@infozentrum-dresden.de","www.infozentrum-dresden.de",,"Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","Deutsch, Englisch, Portugiesisch, Niederländisch, Russisch, Tschechisch, Arabisch, Persisch","Beratung, Integrationskurse, Information","Bereitstellung eines bedarfsorientierten und individuellen Beratungsangebots für Migranten","51.049157","13.739196",,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende",,,"Dresden",,,,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ",,"Deutschkurse; Niveaueinstufungen, Alphabetisierung, A1, Einstufungstests, ehrenamtlich, ","Deutschkurse von Alphabetisierung bis Ende A1 in 6 Niveaustufen für Asylsuchende, die kein oder noch kein Recht auf ESF- oder Integrationskurse haben; 60 ehrenamtliche Lehrer_innen unterrichten ca. 30 Kurse; 4x pro Jahr Einstufungstests und Neustarts von Kursen","51.055791","13.737896",,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","Beratungsangebot: freitags 16:00 Uhr bis 18:00 Uhr im Keller der Gemeinschaftsunterkunft Florian-Geyer-Straße 48",,,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl",,,"Deutsch, Englisch, weitere","Beratung, Soziokulturelle Angebote, ...","Wir, die Mitglieder der Kontaktgruppe Asyl (e. V.; kurz KoGA), unterstützen Asylsuchende und Geflüchtete in Dresden beim Bewältigen der vielen bürokratischen Hürden und schaffen Kontakt- und Begegnungsmöglichkeiten. Mit Respekt knüpfen wir an die Stärken und Potentiale dieser Menschen an und stellen uns als unabhängige AnsprechpartnerInnen zur Verfügung. Öffentlich engagieren wir uns gegen repressive Strukturen und rassistische Vorurteile sowie für eine solidarische und bunte Gesellschaft.","51.05225","13.70205",,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul",,"0351-8383457, 0351-8301729, 0351-8306074",,"info@buntes-radebeul.de","www.buntes-radebeul.de",,"Andrea Meinel","Inge Dreißig, Martin Oehmichen","Deutsch, Englisch","Deutschkurse, Einzelfallhilfe und Begleitung, soziokulturelle Angebote, Sammlungen, Netzwerkarbeit","Deutschkurse durch ehrenamtliche LehrerInnen für unterschiedliche Niveaustufen, einschl. Alphabetisierungskurs, Ziel A1/A2 als Basis für staatl. gef. Sprachkurse, vertiefende Übungsgruppen; Begleitung Asylsuchender zu Behörden, Ärzten, Arbeitgebern etc.; Organisation sportlicher und kultureller Ereignisse und handwerklicher Tätigkeiten; monatlicher Treffpunkt in der zentralen Unterkunft in Radebeul zum Austausch.","51.10749","13.68406",,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden",,"0157-87828576",,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","Deutsch, Englisch","Deutschkurse,Hilfen im Alltag, Freizeitangebote, Veranstaltungen für Flüchtlinge und Anwohner, Plakat-, Flyer- und Postkartenaktionen","Das Bürgernetzwerk Laubegast ist Bunt bemüht sich bereits seit 2010 intensiv um Demokratieförderung, Weltoffenheit und Toleranz im Stadtteil. Seit 2014 ist die Flüchtlingshilfe einer der Arbeitsschwerpunkte.","51.024246","13.837989",,,,,,,,,
"5","Das interkulturelle Sofa",,,"Dresden","wöchentliche Treffen","017696910468",,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","Deutsch, Englisch","Gesprächsangebote, Vernetzung zwischen Asylbewerbern und Dresdnern, Integration durch gemeinsame Sofa-Touren, Veranstaltungen für Flüchtlinge, regelmäßige Treffen,  Öffentlichkeitsarbeit für Integration (mit dem Sofa), ehrenamtlich, Deutsch reden, interkulturell",,"51.054685","13.741608",,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden",,"01577-5350441",,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-",,,"Deutsch, Englisch, Französisch",,"Das Netzwerk “Willkommen in Löbtau” möchte die geflüchteten Menschen dabei unterstützen, in unserem Stadtteil anzukommen. Mit unserer Arbeit wollen wir eine Brücke schlagen zwischen neuen und alteingesessenen LöbtauerInnen. Das Netzwerk besteht aus engagierten BürgerInnen, Kirchgemeinden, Vereinen und verschiedenen Parteien.","51.03803","13.69432",,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","Termine auf Anfrage",,,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/",,"Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","Deutsch, Englisch, Französisch","Gründung von Arbeitsgruppen am 20.2.15 um 17:00 Uhr im Festspielhaus Hellerau","Die Initiative ""Brücken schaffen"" ist die Zusammenarbeit von Vereinen, Kirchen, Parteien, Ortsamt aus Klotzsche, Hellerau, Langebrück, mit dem Ziel, das Zusammenleben von EinwohnerInnen und Asylsuchenden und die Integration und Ankunft der Asylsuchenden harmonisch zu gestalten.","51.11203","13.77404",,,,,,,,,
"8","Save me Dresden",,,"Dresden","jeden zweiten Dienstag 19 Uhr Patentreff bei Cabana (Kreuzstr.7)","015903128114 Sprechzeit: Do:17-20 
So:17-20",,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/",,"Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","Deutsch, Englisch","Patenschaftsprogramm für Resettlementflüchtlinge","Vermittlung von Patenschaften für Flüchtlinge (Resettlment und Adhoc Aufnahme) Politisches Engagement für eine Verbesserung des Resettlement Programmes der BRD und die zentrale Koordinierung alle Patenschaften in Dresden.","51.050409","13.737262",,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden",,"0351-48198422","0351-48198470","claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","Deutsch, Englisch","Förderfonds Flüchtlingshilfe, Bildungsangebote für Schulen ","Wir unterstützen die Flüchtlingshilfe andere Gruppen durch Bereitstellung von Finanzen in unserem Sachmittelfonds. Wir entwickeln Bildungsangebote für Schulen zum Thema Flucht & Asyl.","51.05871","13.72661",,,,,,,,,
