"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"0","Cabana/ Ökumenisches Informationszentrum e.V. ","Kreuzstraße 7","01067","Dresden "," جمعه ۱۰ صبح تا ۱ بعدازظهر/ دوشنبه ۱۰ صبح تا ۱ بعد ازظهر و ۱ بعدازظهر تا چهار بعدازظهر / سه شنبه ۱ تا ۵ بعدازظهر / چهارشنبه ۲ تا ۵ بعدازظهر","(0351) 492 33 67, (0351) 492 33 62",,"cabana@infozentrum-dresden.de","www.infozentrum-dresden.de","0","Annegret Krellner","Grit Gabler, Annegret Krellner, In Am Sayad Mahmood","انگلیسی، آلمانی، پرتغالی، هلندی، روسی، چک، عربی، فارسی","مشاوره / دوره های ادغامی / اطلاعات ",,,,,,,,,,,,
"1","DAMF Deutschkurse für Asylsuchende","0","0","Dresden","0","0",0.00,"damf-dd@gmx.de","damf.blogsport.de","https://www.facebook.com/pages/DAMF-Deutschkurse-Asyl-Migration-Flucht-Dresden/176997822482682","Rico Ehren","Kristin Kossatz, Mirjam Christ","0","دوره زبان آلمانی و الفبا تا پایان A1 / آزمون ارزیابی و معلمان داوطلب","کلاسهای زبان آلمانی با شروع از الفبا تا پایان A1 با شش سطح دشواری، برای پناهجویان که هنوز سمت دسترسی به ESF یا دوره ادغام ندارد. 60 معلم داوطلب برای تدریس  30 دوره آلمانی. شروع دوره های جدید و آزمون تعیین سطح  چهار بار در سال",,,,,,,,,,,
"2","Kontaktgruppe Asyl e.V.","Emerich-Ambros-Ufer 42","01159","Dresden","خدمات مشاوره: جمعه ۴ تا ۶ بعدازظهردر زیرزمین مسکونی Florian-Geyer-Straße 48","0",0.00,"kontaktgruppe-asyl@web.de","http://kontaktgruppeasyl.blogsport.de/","https://www.facebook.com/kontaktgruppeasyl","0","0","آلمانی، انگلیسی، غیره","مشاوره و کمکهای اجتماعی و فرهنگی","ما، اعضای گروه تماس پناهندگی (KoGA)، پناهجویان و پناهندگان حمایت در درسدن برای غلبه بر موانع اداری و ایجاد فرصت و جلسات دوستانه  با ما تماس بگیرید. با احترام، ما بر روی نقاط قوت و پتانسیل این افراد کار کرده و سخنگوی این افراد خواهیم شد. مبارزه آشکار در بر علیه سرکوبگری و تعصبات نژادی برای جامعه ای آزاد و رنگارنگ جزو فعالیت های ماست.",,,,,,,,,,,
"3","Bündnis Buntes Radebeul","August-Bebel-Straße 49","01445 ","Radebeul",,"0351-8383457, 0351-8301729, 0351-8306074",0.00,"info@buntes-radebeul.de","www.buntes-radebeul.de","0","Andrea Meinel","Inge Dreißig, Martin Oehmichen","آلمانی، انگلیسی","دوره آلمانی، کمک های فردی، اجتماعی و فرهنگی،  گسترش شبکه افراد","کلاسهای زبان آلمانی برای سطوح مختلف داده شده توسط معلمان داوطلبانه، از جمله دوره مقدماتی، دستیابی به سطح A1 / A2 به عنوان پایه ای برای دوره زبان قانونی مورد نیاز، گروه ورزش مکمل. پشتیبانی / همراهی با مقامات، دکتر، کارفرمایان، و غیره. ورزش و فعالیت های فرهنگی و ""Tätigkeiten handwerklicher"". جلسات ماهانه در Unterkunft مرکزی در Radebeul برای Austausch",,,,,,,,,,,
"4","Laubegast ist Bunt","Österreicher Str. 54","01279","Dresden","0","0157-87828576",0.00,"vitae@cvjm-dresden.de","www.laubegast-ist-bunt.de","https://www.facebook.com/laubegastistbunt","Claus Dethleff","Claus Dethleff","آلمانی، انگلیسی","دوره آلمانی، کمک / کمک در زندگی روزمره / روزمره، امکانات تفریحی، جلسات بین پناهجویان و ساکنان، ایجاد آگهی، پلاکارد، کارت پستال","شبکه محلی Laubegast  از سال 2010 برای ترویج دموکراسی، روشن فکری / نگرش جهانی و تحمل در این بخش از شهر فعالیت میکند. از سال 2014  کمک به پناهندگان تبدیل به یکی از مباحث عمده ما شده است.",,,,,,,,,,,
"5","Das interkulturelle Sofa","0","0","Dresden","جلسات هفتگی","017696910468",0.00,"kultursofa.dresden@afropa.org","www.afropa.org","https://www.facebook.com/KultursofaDresden","Anna-Maria Buchgraber","Andreas Hempel, Emiliano Chaimite, Annna-Maria Buchgraber","آلمانی، انگلیسی","تبادل نظر، شبکه های بین پناهجویان و مردم درسدن، ادغام از طریق گشت و گذار شهری مشترک، مراسم برای پناهندگان، جلسات منظم، روابط عمومی کار برای یکپارچه سازی (با گشت و گذار)، داوطلبانه، فرصت برای یادگیری زبان آلمانی، تبادل فرهنگی","",,,,,,,,,,,
"6","Willkommen in Löbtau","Clara-Zetkin-Straße 30","01159","Dresden","0","01577-5350441",0.00,"kontakt@willkommen-in-loebtau.de","www.willkommen-in-loebtau.de","-","0","0","آلمانی، انگلیسی، فرانسوی",,"شبکه ""خوش آمدید به Löbtau"" می خواهد برای حمایت از پناهندگان برای ورود به شهر و حل مسایل اولیه آنها اقدام کند. ما می خواهیم بین
 پناهندگان و ساکنان پیوند ایجاد کنیم . شبکه متشکل ازشهروندان متعهد،  کلیسا، انجمن / باشگاه ها و احزاب سیاسی است.",,,,,,,,,,,
"7","Initiative ""Brücken schaffen""","Kieler Straße 52","01109","Dresden","قرارملاقات در صورت تقاضا","0",0.00,"kontakt@bruecken-schaffen.de","http://www.bruecken-schaffen.de/","0","Anja Apel und Ulrike Caspary","Ulrike Caspary und Anja Apel","آلمانی، انگلیسی، فرانسوی","شروع گروه های کاری از بیستم فوریه ۲۰۱۵ در Festspielhaus Hellerau","نهضت ساخت پل برای همکاری بین کلیسا و احزاب سیاسی و دفتر مرکزی 
احزاب و دفتر مرکزی محلیOrtsamt Klotsche، Langebrück و Hellerau (مناطق شهر) به وجود آمده است. ما می خواهیم به ورود به زندگی جمعی آرام و مسالمت آمیز را برای پناهندگان و پناهجویان محقق کنیم ",,,,,,,,,,,
"8","Save me Dresden","0","0","Dresden","ملاقات با مشاور دوهفته یک بار سه شنبه ها ساعت هفت بعدازظهر در Cabana Kreuzstraße 7","015903128114 Sprechzeit: Do:17-20 
So:17-20",0.00,"kampagne@save-me-dresden.de","http://www.save-me-dresden.de/","0","Julia Osten","Julia Osten, Caroline Trübenbach, Franzika Fehst","آلمانی، انگلیسی","برنامه مربی گری برای پناهندگان اسکان مجدد","مدیتیشن توسط منتوها برای پناهندگان (اسکان مجدد و محل اقامت؟).
تعامل سیاسی برای بهبود برنامه اسکان مجدد در
  آلمانی و هماهنگی مرکزی از تمام مشاوران در درسدن.",,,,,,,,,,,
"9","arche noVa - Initiative für Menschen in Not e.V.","Weißeritzstraße 3","01067","Dresden","0","0351-48198422",,"claudia.holbe@arche-nova.org","www.arche-nova.org","https://de-de.facebook.com/archenova.ev","Claudia Holbe","Claudia Holbe, Frank Engel","آلمانی، انگلیسی","کمک های مالی برای سازمان های پناهندگی در درسدن، آموزش و پرورش برای مدارس در مورد فرار و پناهندگی","کمک به پناهندگان و دیگر گروه ها از طریق کمک های مالی حمایت و توسعه مواد آموزش و پرورش در مورد فرار و پناهندگی در مدارس.",,,,,,,,,,,
