"name","placename","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","description","category_horbz","category","subCategory","lat","lon"
"Willkommen in Bautzen e.V.",,"Steinstraße 37","02625","Bautzen",,,,"info@willkommeninbautzen.de","www.willkommeninbautzen.de","https://de-de.facebook.com/willkommeninbautzen/","Andreas von Geibler (Vorstandsvorsitzender), Karl-Heinz Biesold (Vorstandmitglied), Elisabeth Hauswald (Vorstandsmitglied),Katrin Heimbürger(Vorstandsmitglied), Astrid Riechmann (Schatzmeisterin)","Andreas von Geibler","Deutsch","Der Verein WILLKOMMEN IN BAUTZEN e.V. wurde im Juni 2015 von engagierten Bautzener Bürgern aus dem Bündnis „Bautzen bleibt Bunt“ heraus gegründet. Der Verein hat sich zum Ziel gesetzt, in Bautzen und Umgebung die ehrenamtliche Arbeit für die in Bautzen lebenden Flüchtlinge durch eine transparente Verwaltung von Spenden und Preisgeldern, die Finanzierung von Projekten und Öffentlichkeitsarbeit zu unterstützen. Der Verein fördert alle Aktivitäten, die der Integration von Flüchtlingen in die Bautzener Gemeinschaft und der Toleranz gegenüber fremden Kulturen dienlich sind. Genauso werden Projekte gefördert, die sich gegen Fremdenfeindlichkeit und Rassismus richten. Der Verein ist gemeinnützig tätig, überparteilich, konfessionslos und nicht kommerziell.
","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.181205","14.431904"
"Bautzen bleibt bunt - Bürgerbündnis für Gastfreundschaft, Menschlichkeit und Toleranz","Steinhaus, 1.Etage","Steinstr. 37","02625","Bautzen","Kontaktbüro: Donnerstag 15-17 Uhr","Bündnis: 03591/531 8076  Kontaktbüro: 0171/9792 101",,"info@bautzenbleibtbunt.de","http://www.bautzenbleibtbunt.de","https://www.facebook.com/bautzen.bleibt.bunt/","Hauptanprechpartnerin: Manja Gruhn, Kontaktbüro: Anne-Marie Russew","Hauptanprechpartnerin: Manja Gruhn, Kontaktbüro: Anne-Marie Russew","Deutsch, Englisch","Das Bündnis 'Bautzen bleibt bunt' setzt sich für eine Willkommenskultur Asylsuchender und Ausländer in Bautzen ein, zeigt Flagge für ein friedvolles Miteinander von Bürgern und Asylsuchenden und bezieht Stellung gegen rassistische, unmenschliche Äußerungen und Vorurteile. Mit dieser Gemeinschaft möchte gezeigt werden, dass Bautzen gastfreundlich, tolerant und weltoffen den Menschen gegenüber ist, die aufgrund von Notsituationen eine Bleibe in Deutschland suchen und hierbei auch in Bautzen untergebracht werden. Das Bündnis möchte damit ein Zeichen setzen gegen menschenfeindliche Vorurteile und Vorverurteilungen und eine positive Willkommenskultur schaffen.  “Bautzen bleibt bunt – Budyšin wostanje pisany” steht für Weltoffenheit, Menschlichkeit und Toleranz! Es ist überparteilich, überkonfessionell, nichtkommerziell. ","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.181205","14.431904"
"Partnerschaften für Demokratie, Netzwerk für Kinder- und Jugendarbeit",,"Lutherstraße 13","01877","Bischofswerda","Nach Terminvereinbarung","03594/704730","03594/707462","friederike.beese@kijunetzwerk.de","lap-bautzen.de",,"Friederike Beese, Bernadette Zeller","Friederike Beese","Deutsch, Englisch, Sorbisch","Koordinierungs- und Fachstelle im Rahmen des Bundesprogrammes „Demokratie leben!“. Förderung demokratischer Strukturen im ländlichen Raum durch Fördermittelvergabe, Antragsberatung und Jugendbeteiligungsprojekte. Zuständig für den Landkreis Bautzen.","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.12763","14.1743"
"Steinhaus e.V.",,"Steinstr. 37","02625","Bautzen","Offene Kinder- und Jugendarbeit: tägl. 14-19 Uhr  Ansonsten im Rahmen der Kursangebot und Veranstaltungen, Termine nach Absprache wochentags von 9-18 Uhr","03591/5319966","03591/5319967","info@steinhaus-bautzen.de","www.steinhaus-bautzen.de","https://de-de.facebook.com/SteinhausBautzen/","Geschäftsführer: Torsten Wiegel, Kulturelle Jugendbildung / Kids&Heroes: Reno Rössel,  Offene Kinder- und Jugendarbeit: Uwe Reschwamm, Kultur & Veranstaltungen: Alexander Noack",,"Deutsch, Englisch","Der Steinhaus e.V. ist ein gemeinnütziger Verein in der Funktion eines Soziokulturellen Zentrums und ist als ein solches Zentrum Mitglied im Landesverband Soziokultur Sachsen e.V..Im Herzen der Spreestadt ist das Steinhaus ein Ort der Begegnung und Kommunikation, des bürgerschaftlichen Engagements, des künstlerischen Austauschs und der kulturellen Produktion - für alle Generationen und sozialen Schichten. Es will Freiräume für interessenbezogene Freizeitgestaltung junger wie älterer Menschen schaffen sowie Orientierung und Hilfestellung bei der Verwirklichung individueller Lebensentwürfe bieten. Denn nicht alle Menschen verfügen über die gleichen Voraussetzungen, Chancen und Möglichkeiten, ihre Biografie erfolgreich zu gestalten","Freizeit/Gemeinschaft","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.181205","14.431904"
"djo-Deutsche Jugend in Europa, Landesverband Sachsen e.V. Projektbüro 'Jugendverbandsarbeit für alle'",,"Otto-Nagel-Str. 1","02625","Bautzen","Mo. - Mi.: 09:30 - 17:30","0351 84190413, 0177/ 7644472",,"olena.vasyuk@djo-sachsen.de","http://www.djo-sachsen.de/","https://www.facebook.com/djo.sachsen/","Olena Vasyuk","Olena Vasyuk","Deusch, Russisch, English","Wir sind ein Jugendverband für interkulturelle, internationale und politische Jugendarbeit. Mit unseren Angeboten möchten wir dazu beitragen, die eigene Kultur und die Kultur anderer kennenzulernen, um so das gegenseitige Verständnis zu fördern. Dabei unterstützen und beraten wir junge Menschen und Jugendinitiativen bei der Realisierung eigener Ideen und bieten Gestaltungsräume für deren Umsetzung. Die djo ist ein Dachverband für Jugendmigrantenorganisationen und Migranteninitiativen. Sie präsentiert die Vielfalt an Belangen und Forderungen jugendlicher MigrantInnen - gegenüber Politik und auch als Lobby für die jungen Menschen in der Öffentlichkeit.","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.192657","14.446848"
"Internationaler Bund, IB Mitte gGmbH, Jugendmigrationsdienst Bautzen",,"Wilhelm-Ostwald-Str.19","02625","Bautzen","Montag 13 - 16 Uhr, Dienstag 15.30 - 17.30 Uhr, Donnerstag 8 - 16 Uhr","03591/276761","03591/276761","jmd-bautzen@internationaler-bund.de","http://www.internationaler-bund.de/angebote/standort/202850",,"Steffen Deubner","Steffen Deubner","Deutsch, Englisch, Russisch (wenig)","Koordnierungsstelle für Integrationskurse Landkreis Bautzen: Beratung zu möglichen Kursangeboten, Antragsstellung beim Bundesamt, Zusammenstellung der Kurse, Einstufungstest, Vermittlung zum Kursträger, Betreuung während und nach dem Kurs, Beratung und Vermittlug zu weiterführenden Angeboten. Angebote sind: Individuelle Integrationsförderung und -begeitung, gruppenpädagogische Angebote, Informations- und Bildungsangebote für Behörden, Netzwerkarbeit.","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.19133","14.44858"
"Leuchtturm-Majak' e. V.",,"Otto-Nagel-Str. 1","02625","Bautzen","Mo. - Fr. 12:00 - 17:00 oder nach Vereinbarung","03591/5969094",,"leuchtturm-majak@gmx.de","http://www.leuchtturm-majak.de/startseite.html ",,"Natalia Dies","Natalia Dies","Deutsch, Russisch, Arabisch, Englisch","Leuchtturm-Majak ist eine Migrantenselbstorganisation. Sie existiert seit 2006. Das Ziel ist die Hilfe für Menschen mit und ohne Migrationshintergrung. Die Tätigkeiten umfassen die Arbeit mit Kinder und Jugendliche im Bereich der Freizeit und außerschulischer Bildung; die Arbeit mit Migranten: Beratung, Begleitung, Sprachmittlung, Schulung, Sprachtraining, Freizeit; die Arbeit mit Senioren: Seniorentreffen, Alltagsbegleitung, Stützpunkt für Demenzkranke und ihren Angehörigen, Freizeit;  Kulturarbeit: Freizeit, Interkulturelle Begegnungen, Feste, Kulturbeiträge. ","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.192657","14.446848"
"samo.fa-Hoyerswerda, Träger: RAA Hoyerswerda /Ostsachsen e.V.","Im Industriegelände","Str. B Nr. 8","02977","Hoyerswerda","Montag-Donnerstag: 08:00-17:00 Uhr, Freitag: 08:00-14:00 Uhr","03571-416072, Mobil: 01731-470330","03571/924047","paulick@raa-hoyerswerda.com","www.samofa.de, www.raa-hoyerswerda.de, www.bv-nemo.de",,"Cindy Paulick","Cindy Paulick","Deutsch, Englisch","samo.fa (Stärkung der Aktiven aus Migrantenorganisationen in der Flüchtlingsarbeit) hat zum Ziel, mithilfe lokaler Flüchtlingsarbeit die gleichberechtigte Teilhabe von Geflüchteten in allen Bereichen des lokalen und kommunalen Lebens zu stärken. In Hoyerswerda trifft sich der samo.fa-Stammtisch regelmäßig, um Projekte zur Verbesserung der Situation Geflüchteter vorzubereiten und durchzuführen. Veranstaltungen wie Sprachcafés und Wandertage mit Schulklassen werden von Stammtischmitgliedern mit und ohne Migrationserfahrung organisiert. Für Fragen und Anregungen sind wir jederzeit dankbar und freuen uns über neue Gesichter.","Allgemeines (Unterpunkt: kirchliche/ freie Träger)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.43186","14.29321"
"Gruppe blickKONTAKT Wehrsdorf",,"Dresdner Str.33","02689","Sohland","/","035936/34268",,"gross.wehrsdorf@web.de",,,"Katharina und Heino Groß",,"Deutsch","Freiwilligeninitiative für das Flüchtlingsheim Wehrsdorf.","Allgemeines (Unterpunkt: Vereine und Initiativen)","010cfae4-7506-425b-ba37-80e8d83427f0",,"51.05435","14.37572"
"Ausländerbeauftragte Landkreis Bautzen",,"Bahnhofstraße 9","02625","Bautzen","Donnerstag 10 - 12 Uhr,   

Termine nach Vereinbarung sind auch außerhalb der Sprechzeit möglich.","03591 5251-87700","03591 5250-87700","auslaenderbeauftragte@lra-bautzen.de","http://www.landkreis-bautzen.de/13703.html",,"Anna Piętak-Malinowska","Anna Piętak-Malinowska","Deutsch, Polnisch, Englisch, Russisch","Ansprechpartnerin bei allen integrationspolitischen Angelegenheiten, Hilfe und Beratung bei Fragen zur Integration, Hilfe und Beratung bei Diskriminierung aufgrund der Herkunft, eigenständige Öffentlichkeitsarbeit, Mitglied im Begleitausschuss 'Partnerschaften für Demokratie'","Allgemeines (Unterpunkt: Behörden)","010cfae4-7506-425b-ba37-80e8d83427f0","authority","51.175784","14.429462"
