"name","tags","dateFrom","dateTo","timeFrom","timeTo","placename","street","zip","city","description","url","type","image","imageType","lat","lon"
"Kinder aus aller Welt – Willkommen bei uns in Deutschland","iwgr","27. March",,"9:00",,"Bibliothek Prohlis","Prohliser Allee 10",,"Dresden","Beim Vorstellen von Büchern erfahren Kinder Interessantes zu Themen wie Toleranz, Vorurteile und Heimat.","http://internationale-wochen-gegen-rassismus.de/event/extrem-radikal-orientierungslos-copy-copy-4-copy-4-copy-24-copy-5-copy-10-copy-4-copy-4-copy-copy-copy-6/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.005567","13.797896"
"ABC-Veranstaltung","iwgr","28. March",,"9:00",,"Bibliothek Prohlis","Prohliser Allee 10",,"Dresden","Durch Namensspiele und einem Bilderbuchkino befassen sich Kinder mit dem Alphabet und Geschichten.","http://internationale-wochen-gegen-rassismus.de/event/extrem-radikal-orientierungslos-copy-copy-4-copy-4-copy-24-copy-5-copy-10-copy-4-copy-6-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.005567","13.797896"
"Theater „Als die Raben noch bunt waren“","iwgr","29. March",,"9:00","10:00","Bibliothek Gorbitz","Merianplatz 4","01169","Dresden","Kamishibai-Theater für Kinder im Alter von 4-6 Jahren","http://internationale-wochen-gegen-rassismus.de/event/was-koennen-wir-gegen-rassismusursachen-tun-copy-6-copy-10-copy-13-copy-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.04542","13.66945"
"Worte finden – zum Umgang mit Alltagsrassismus und rechtspopulistischen Äußerungen","iwgr","18. March",,"9:30","12:30","Gemeindehaus der Ev.-Luth. Kirchgemeinde Gruna-Seidnitz","Bodenbacher Str. 24","01277","Dresden","Zum Themenschwerpunkt Alltagsrassismus werden in Zusammenarbeit mit dem Kulturbüro Sachsen e.V. Informationen weitergegeben und Handlungsmöglichkeiten spielerisch erprobt.","http://internationale-wochen-gegen-rassismus.de/event/was-koennen-wir-gegen-rassismusursachen-tun-copy-6-copy-6-copy-copy-94/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.03365","13.78175"
"Argumentationstraining gegen rechte Parolen","iwgr","18. March",,"10:00","16:00","Bürgerbüro Dr. Eva-Maria Stange","Rudolf-Renner-Straße 51","01159","Dresden","Workshop. Handlungsfähig bleiben, selbst wenn rechte Parolen einen sprachlos machen.","http://internationale-wochen-gegen-rassismus.de/event/was-koennen-wir-gegen-rassismusursachen-tun-copy-6-copy-6-copy-copy-116-copy-2-copy-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.043802","13.694276"
"Kann es denn rassistisch sein, wenn ich es nicht rassistisch meine? (Teil 2 von 3)","iwgr","25. March",,"10:00","17:00","WIR AG","Martin-Luther-Straße 21",,"Dresden","Ein Praxisworkshop, um Rassismus bewusster wahrzunehmen, zu verstehen und ihm aktiv zu begegnen. Mit Manjiri Palicha und André Vollrath.","http://internationale-wochen-gegen-rassismus.de/event/extrem-radikal-orientierungslos-copy-copy-4-copy-4-copy-24-copy-5-copy-10-copy-4-copy-4-copy-copy-copy-4-copy-copy-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.0644","13.75571"
"Kann es denn rassistisch sein, wenn ich es nicht rassistisch meine? (Teil 3 von 3)","iwgr","26. March",,"10:00","14:00","WIR AG","Martin-Luther-Straße 21",,"Dresden","Ein Praxisworkshop, um Rassismus bewusster wahrzunehmen, zu verstehen und ihm aktiv zu begegnen. Mit Manjiri Palicha und André Vollrath.","http://internationale-wochen-gegen-rassismus.de/event/extrem-radikal-orientierungslos-copy-copy-4-copy-4-copy-24-copy-5-copy-10-copy-4-copy-4-copy-copy-copy-4-copy-copy-copy-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.0644","13.75571"
"Politik-Forum – Zur Lage Syriens (Teil 3/3)","iwgr","26. March",,"11:30","19:00","riesa efau","Wachsbleichstr. 4a","01067","Dresden","„Menschenrechtslage von Syrer*innen auf dem Weg nach Europa“","http://internationale-wochen-gegen-rassismus.de/event/was-koennen-wir-gegen-rassismusursachen-tun-copy-6-copy-6-copy-copy-83-copy-2-copy-copy-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.056022","13.720674"
"Politik-Forum: Zur Lage Syriens (Teil 1/3)","iwgr","24. March",,"13:00","20:30","riesa efau","Wachsbleichstr. 4a","01067","Dresden","„Menschenrechtslage von Syrer*innen innerhalb des Landes“","http://internationale-wochen-gegen-rassismus.de/event/was-koennen-wir-gegen-rassismusursachen-tun-copy-6-copy-6-copy-copy-83-copy-2-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.056022","13.720674"
"Politik-Forum – Zur Lage Syriens (Teil 2/3)","iwgr","25. March",,"13:00","20:30","riesa efau","Wachsbleichstr. 4a","01067","Dresden","„Menschenrechtslage von Syrer*innen in den Nachbarländern“","http://internationale-wochen-gegen-rassismus.de/event/was-koennen-wir-gegen-rassismusursachen-tun-copy-6-copy-6-copy-copy-83-copy-2-copy-copy/","2","http://about.afeefa.de/wp-content/uploads/2017/03/IWgR_Header_5-2.png","image","51.056022","13.720674"
